,year_month,accumulate_basinp,accumulate_riop,accumulate_simao,accumulate_emborcacao,accumulate_itumbiara,accumulate_corumba,accumulate_corumba1,accumulate_corumba3,accumulate_corumba4,Paranaiba_total
124,201010,145.52,87.84,108.61,93.65,120.93,90.53,134.43,111.32,194.05,1086.8799999999999
125,201011,163.37,46.77,193.49,240.6,247.26,165.21,214.8,229.74,215.0,1716.24
126,201012,215.91,125.27,218.0,212.68,232.5,221.68,264.56,256.99,325.67,2073.26
127,201101,179.65,133.61,224.07,266.56,253.03,252.31,236.97,235.25,244.07,2025.5199999999998
128,201102,208.06,191.64,190.35,77.06,144.23,131.64,148.1,206.23,210.29,1507.6
129,201103,432.14,206.2,356.29,346.0,376.2,431.38,410.83,399.95,240.03,3199.02
130,201104,86.16,137.01,81.65,68.91,129.82,147.45,84.26,66.71,57.66,859.63
131,201105,20.37,90.12,1.72,4.0,1.84,1.63,3.7,7.86,8.09,139.33
132,201106,36.42,9.91,32.85,10.18,18.44,24.67,10.03,7.66,12.49,162.65000000000003
133,201107,0.52,13.29,0.18,0.18,0.1,0.32,0.02,0.0,0.33,14.939999999999998
134,201108,5.66,9.16,2.59,0.64,1.17,0.3,0.09,0.05,0.01,19.67
135,201109,18.26,0.56,5.9,3.27,10.16,0.09,1.51,3.15,4.72,47.62
136,201110,133.75,81.6,170.22,188.57,160.08,172.2,252.9,219.66,230.9,1609.8800000000003
137,201111,101.5,59.71,129.07,98.69,115.53,114.13,118.05,188.1,252.16,1176.94
138,201112,180.2,39.51,211.29,300.23,275.12,166.65,267.21,342.89,302.27,2085.37
139,201201,267.74,103.67,246.83,289.9,336.3,258.51,300.1,362.31,337.02,2502.38
140,201202,177.66,119.5,166.38,122.56,102.94,105.06,193.24,237.19,173.74,1398.27
141,201203,189.27,126.84,120.86,126.81,140.85,113.04,162.46,129.19,150.71,1260.03
142,201204,93.02,44.07,64.24,47.78,80.1,40.2,66.87,129.82,117.12,683.2199999999999
143,201205,58.08,12.17,29.68,29.31,38.95,43.19,37.57,70.69,39.12,358.76
144,201206,82.27,11.18,49.61,55.17,56.75,58.33,29.36,9.28,12.6,364.55
145,201207,3.16,1.22,4.71,4.39,8.07,8.21,6.06,1.16,5.07,42.05
146,201208,0.05,0.22,0.32,0.21,0.24,1.01,0.09,0.02,0.04,2.1999999999999997
147,201209,64.16,0.22,52.15,43.17,35.49,40.51,49.08,62.6,54.27,401.65
148,201210,64.58,2.76,52.84,64.07,74.15,58.53,69.11,80.33,120.74,587.1099999999999
