Date,Maximum Demand (in MW)
11/5/17,37404.344
11/6/17,41054.023
11/7/17,40823.605
11/8/17,41154.344
11/9/17,41791.902
11/10/17,44105.75
11/11/17,38482.227
11/12/17,37076.332
11/13/17,41901.543
11/14/17,42885.102
11/15/17,41343.004
11/16/17,46478.33
11/17/17,44546.223
11/18/17,40720.012
11/19/17,37981.559
11/20/17,39075.777
11/21/17,42934.949
11/22/17,42155.05
11/23/17,41593.121
11/24/17,42399.477
11/25/17,40963.227
11/26/17,38331.164
11/27/17,44379
11/28/17,44133.258
11/29/17,42919.09
11/30/17,41737.918
12/1/17,40365.31
12/2/17,39431.711
12/3/17,37250.441
12/4/17,43769.922
12/5/17,44550.73
12/6/17,43806.719
12/7/17,43891.36
12/8/17,42680.27
12/9/17,40653.26
12/10/17,37992.65
12/11/17,45007.58
12/12/17,42473.45
12/13/17,43383.89
12/14/17,45079.98
12/15/17,45267.383
12/16/17,41800.191
12/17/17,40508.227
12/18/17,45671.36
12/19/17,46501.223
12/20/17,45869.31
12/21/17,43522.89
12/22/17,41688.78
12/23/17,40997.92
12/24/17,40512.89
12/25/17,37352.52
12/26/17,41999.63
12/27/17,42975.2
12/28/17,42459.92
12/29/17,41104.24
12/30/17,39152.2
12/31/17,40526.51
1/1/18,37877.02
1/2/18,42437.32
1/3/18,43047.004
1/4/18,42399.859
1/5/18,42373.988
1/6/18,41004.566
1/7/18,37523.211
1/8/18,42452.566
1/9/18,42942.77
1/10/18,45129.14
1/11/18,45789.72
1/12/18,44521.14
1/13/18,41904.01
1/14/18,39362.09
1/15/18,45910.06
1/16/18,47090.62
1/17/18,48407.76
1/18/18,49335.11
1/19/18,49911.15
1/20/18,43930.31
1/21/18,42624.72
1/22/18,50063.89
1/23/18,50852.86
1/24/18,50608.03
1/25/18,48586.36
1/26/18,47937.48
1/27/18,42377.05
1/28/18,41284.3
1/29/18,47528.54
1/30/18,44535.15
1/31/18,44409.73
2/1/18,44782.38
2/2/18,45208.39
2/3/18,41551.09
2/4/18,38880.33
2/5/18,42734.88
2/6/18,43563.23
2/7/18,44646.45
2/8/18,46666.44
2/9/18,47890.43
2/10/18,42372.77
2/11/18,40319.39
2/12/18,42141.99
2/13/18,42035.21
2/14/18,43897.54
2/15/18,44535.23
2/16/18,45516.49
2/17/18,42961.53
2/18/18,40356.5
2/19/18,45808.89
2/20/18,46851.77
2/21/18,47366.92
2/22/18,47002.27
2/23/18,45545.59
2/24/18,43015.43
2/25/18,40333.61
2/26/18,45077.34
2/27/18,45544.87
2/28/18,47477.1
3/1/18,47781.63
3/2/18,48466.31
3/3/18,44186.21
3/4/18,41655.52
3/5/18,48869.05
3/6/18,49240.082
3/7/18,48402.11
3/8/18,45924.273
3/9/18,45852.273
3/10/18,43223.813
3/11/18,41022.66
3/12/18,48377.875
3/13/18,48552.492
3/14/18,50026.875
3/15/18,49743.2
3/16/18,49537.727
3/17/18,43248.543
3/18/18,41386.918
3/19/18,49157.832
3/20/18,49884.469
3/21/18,47139.996
3/22/18,45783.461
3/23/18,48067.613
3/24/18,44773.098
3/25/18,41723.11
3/26/18,46797.438
3/27/18,46699.27
3/28/18,47055.668
3/29/18,45953.383
3/30/18,40590.074
3/31/18,42959.215
4/1/18,40894.953
4/2/18,45756.645
4/3/18,46275.184
