Date,Stored_energy
1/4/2017,49380.339
1/5/2017,49115.1675
1/6/2017,48934.0035
1/7/2017,48924.507
1/8/2017,48999.7485
1/9/2017,48741.882
1/10/2017,48709.74
1/11/2017,48652.0305
1/12/2017,48730.9245
1/13/2017,48892.365
1/14/2017,49134.891
1/15/2017,49524.2475
1/16/2017,49703.9505
1/17/2017,49918.7175
1/18/2017,50227.719
1/19/2017,50690.1255
1/20/2017,51244.575
1/21/2017,51858.195
1/22/2017,52493.73
1/23/2017,52846.5615
1/24/2017,53090.5485
1/25/2017,53451.4155
1/26/2017,53873.6445
1/27/2017,54277.611
1/28/2017,54741.4785
1/29/2017,55145.445
1/30/2017,55346.3325
1/31/2017,55451.5245
2/1/2017,55705.7385
2/2/2017,55925.619
2/3/2017,56009.6265
2/4/2017,56436.969
2/5/2017,56916.9075
2/6/2017,57138.9795
2/7/2017,57475.74
2/8/2017,57853.4085
2/9/2017,58244.226
2/10/2017,58534.2345
2/11/2017,58820.5905
2/12/2017,59092.3365
2/13/2017,59331.9405
2/14/2017,59581.041
2/15/2017,59785.581
2/16/2017,59859.3615
2/17/2017,59824.2975
2/18/2017,59966.0145
2/19/2017,60060.249
2/20/2017,59902.461
2/21/2017,59833.0635
2/22/2017,59708.8785
2/23/2017,59537.9415
2/24/2017,59453.2035
2/25/2017,59571.5445
2/26/2017,59779.737
2/27/2017,59830.872
2/28/2017,59982.816
3/1/2017,60029.568
3/2/2017,60035.412
3/3/2017,60098.235
3/4/2017,60434.9955
3/5/2017,60813.3945
3/6/2017,60941.9625
3/7/2017,61128.9705
3/8/2017,61359.8085
3/9/2017,61467.192
3/10/2017,61492.7595
3/11/2017,61578.228
3/12/2017,61774.7325
3/13/2017,61578.9585
3/14/2017,61511.022
3/15/2017,61383.1845
3/16/2017,61200.5595
3/17/2017,61087.332
3/18/2017,61036.9275
3/19/2017,61294.0635
3/20/2017,61338.624
3/21/2017,61462.0785
3/22/2017,61539.5115
3/23/2017,61543.8945
3/24/2017,61529.2845
3/25/2017,61561.4265
3/26/2017,61730.172
3/27/2017,61658.583
3/28/2017,61623.519
3/29/2017,61614.753
3/30/2017,61582.611
3/31/2017,61576.767
4/1/2017,61757.931
4/2/2017,61890.1515
4/3/2017,61725.789
4/4/2017,61607.448
4/5/2017,61502.256
4/6/2017,61428.4755
4/7/2017,61439.433
4/8/2017,61502.9865
4/9/2017,61703.874
4/10/2017,61630.824
4/11/2017,61594.299
4/12/2017,61619.8665
4/13/2017,61691.4555
4/14/2017,61844.8605
4/15/2017,61836.0945
4/16/2017,61890.882
4/17/2017,61700.2215
4/18/2017,61644.7035
4/19/2017,61584.8025
4/20/2017,61460.6175
4/21/2017,61505.9085
4/22/2017,61548.2775
4/23/2017,61735.2855
4/24/2017,61725.0585
4/25/2017,61687.803
4/26/2017,61653.4695
4/27/2017,61691.4555
4/28/2017,61847.7825
4/29/2017,62013.606
4/30/2017,62177.9685
5/1/2017,62253.21
5/2/2017,62242.983
5/3/2017,62194.77
5/4/2017,62139.252
5/5/2017,62102.727
5/6/2017,62139.252
5/7/2017,62290.4655
5/8/2017,62268.5505
5/9/2017,62245.1745
5/10/2017,62226.912
5/11/2017,62191.1175
5/12/2017,62148.7485
5/13/2017,62083.734
5/14/2017,62097.6135
5/15/2017,61892.343
5/16/2017,61728.711
5/17/2017,61643.973
5/18/2017,61585.533
5/19/2017,61662.966
5/20/2017,61906.953
5/21/2017,62416.842
5/22/2017,62780.631
5/23/2017,63222.5835
5/24/2017,63590.025
5/25/2017,63808.4445
5/26/2017,63958.9275
5/27/2017,64113.063
5/28/2017,64243.8225
5/29/2017,64265.007
5/30/2017,64357.05
5/31/2017,64348.284
6/1/2017,64317.603
6/2/2017,64267.1985
6/3/2017,64293.4965
6/4/2017,64339.518
6/5/2017,64244.553
6/6/2017,64167.8505
6/7/2017,64056.084
6/8/2017,63986.6865
6/9/2017,63996.183
6/10/2017,63998.3745
6/11/2017,64034.169
6/12/2017,63967.6935
6/13/2017,63884.4165
6/14/2017,63791.643
6/15/2017,63754.3875
6/16/2017,63685.7205
6/17/2017,63688.6425
6/18/2017,63725.1675
6/19/2017,63674.763
6/20/2017,63595.869
6/21/2017,63519.897
6/22/2017,63462.1875
6/23/2017,63342.3855
6/24/2017,63325.584
6/25/2017,63294.903
6/26/2017,63228.4275
6/27/2017,63094.0155
6/28/2017,62927.4615
6/29/2017,62745.567
6/30/2017,62558.559
7/1/2017,62513.268
7/2/2017,62470.1685
7/3/2017,62373.012
7/4/2017,62261.976
7/5/2017,62069.8545
7/6/2017,61864.584
7/7/2017,61698.7605
7/8/2017,61619.136
7/9/2017,61532.937
7/10/2017,61294.0635
7/11/2017,61111.4385
7/12/2017,60963.147
7/13/2017,60808.281
7/14/2017,60605.9325
7/15/2017,60534.3435
7/16/2017,60457.641
7/17/2017,60246.5265
7/18/2017,59993.7735
7/19/2017,59801.652
7/20/2017,59532.828
7/21/2017,59239.167
7/22/2017,59034.627
7/23/2017,58924.3215
7/24/2017,58611.6675
7/25/2017,58288.7865
7/26/2017,57931.572
7/27/2017,57577.2795
7/28/2017,57252.207
7/29/2017,57161.625
7/30/2017,57052.05
7/31/2017,56686.8
8/1/2017,56309.1315
8/2/2017,55989.903
8/3/2017,55659.717
8/4/2017,55292.2755
8/5/2017,55141.062
8/6/2017,55069.473
8/7/2017,54677.925
8/8/2017,54271.0365
8/9/2017,53839.311
8/10/2017,53463.834
8/11/2017,53097.8535
8/12/2017,52993.392
8/13/2017,52894.7745
8/14/2017,52495.9215
8/15/2017,52205.913
8/16/2017,51836.28
8/17/2017,51470.2995
8/18/2017,51084.5955
8/19/2017,50979.4035
8/20/2017,50950.914
8/21/2017,50713.5015
8/22/2017,50619.9975
8/23/2017,50498.7345
8/24/2017,50327.067
8/25/2017,50099.8815
8/26/2017,49974.2355
8/27/2017,49804.029
8/28/2017,49424.8995
8/29/2017,49043.5785
8/30/2017,48649.839
8/31/2017,48273.6315
9/1/2017,47951.481
9/2/2017,47726.487
9/3/2017,47528.5215
9/4/2017,47104.8315
9/5/2017,46695.021
9/6/2017,46283.019
9/7/2017,46044.1455
9/8/2017,45689.1225
9/9/2017,45401.3055
9/10/2017,45143.439
9/11/2017,44666.4225
9/12/2017,44226.6615
9/13/2017,43827.078
9/14/2017,43324.494
9/15/2017,42820.449
9/16/2017,42484.419
9/17/2017,42217.7865
9/18/2017,41683.0605
9/19/2017,41239.647
9/20/2017,40729.758
9/21/2017,40219.1385
9/22/2017,39705.597
9/23/2017,39316.971
9/24/2017,39058.374
9/25/2017,38509.038
9/26/2017,37969.1985
