"","date","waterlevel"
"170",2016-06-28,451.44
"171",2016-06-29,451.43
"172",2016-06-30,451.42
"173",2016-07-01,451.41
"174",2016-07-02,451.44
"175",2016-07-03,451.48
"176",2016-07-04,451.46
"177",2016-07-05,451.4
"178",2016-07-06,451.38
"179",2016-07-07,451.35
"180",2016-07-11,451.28
"181",2016-07-12,451.23
"182",2016-07-13,451.17
"183",2016-07-14,451.13
"184",2016-07-15,451.1
"185",2016-07-16,451.06
"186",2016-07-17,451.1
"187",2016-07-18,451.08
"188",2016-07-19,451.06
"189",2016-07-20,451.04
"190",2016-07-21,451.02
"191",2016-07-22,450.99
"192",2016-07-23,450.97
"193",2016-07-24,450.95
"194",2016-07-25,450.93
"195",2016-07-26,450.91
"196",2016-07-27,450.88
"197",2016-07-28,450.86
"198",2016-07-29,450.83
"199",2016-07-30,450.8
"200",2016-07-31,450.78
"201",2016-08-01,450.73
"202",2016-08-02,450.69
"203",2016-08-03,450.64
"204",2016-08-04,450.6
"205",2016-08-05,450.55
"206",2016-08-06,450.5
"207",2016-08-07,450.5
"208",2016-08-08,450.46
"209",2016-08-09,450.4
"210",2016-08-10,450.36
"211",2016-08-11,450.32
"212",2016-08-12,450.28
"213",2016-08-13,450.24
"214",2016-08-14,450.23
"215",2016-08-15,450.17
"216",2016-08-16,450.1
"217",2016-08-17,450.05
"218",2016-08-18,450.01
"219",2016-08-19,449.97
"220",2016-08-20,449.99
"221",2016-08-21,450
"222",2016-08-22,450
"223",2016-08-23,450.09
"224",2016-08-24,450.13
"225",2016-08-25,450.15
"226",2016-08-26,450.13
"227",2016-08-27,450.1
"228",2016-08-28,450.09
