Data Escala de Tempo 1 GE Simp 4,cod_aneel (tb_referenciacegusina (Usina)),cod_nucleoaneel (tb_referenciacegusina (Usina)),Data Dica,dsc_estado,id_subsistema,nom_tipousinasite,nom_usina2,Período Exibido GE,Selecione Tipo de GE Simp 4
2/14/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,14/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.6544
2/15/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,15/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.6637
2/16/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,16/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7531
2/17/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,17/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7538
2/18/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,18/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7891
2/19/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,19/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.6423
2/20/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,20/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7013
2/21/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,21/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7402
2/22/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,22/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.7016
2/23/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,23/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.908
2/24/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,24/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9318
2/25/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,25/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.8492
2/26/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,26/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9621
2/27/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,27/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9429
2/28/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,28/2/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9333
3/1/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,1/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9398
3/2/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,2/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.8747
3/3/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,3/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.8703
3/4/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,4/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9394
3/5/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,5/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9434
3/6/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,6/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9407
3/7/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,7/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9293
3/8/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,8/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9394
3/9/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,9/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9491
3/10/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,10/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9493
3/11/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,11/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.8514
3/12/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,12/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.8431
3/13/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,13/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.8401
3/14/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,14/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.8694
3/15/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,15/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.324
3/16/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,16/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,2.9366
3/17/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,17/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,3.0376
3/18/1999 12:00:00 AM,UHE.PH.SP.000208-9.01,000208-9,18/3/1999,SAO PAULO,Sudeste/Centro-Oeste,Hidrelétrica, BARRA BONITA,4,3.0296
