,year_month,accumulate_paranapanema,accumulate_capivara,accumulate_chavantes,accumulate_jurumirim,Paranapanema_total
164,201402,137.19,100.03,86.53,91.35,415.1
165,201403,164.03,145.48,142.19,129.98,581.68
166,201404,104.44,122.98,143.09,118.15,488.65999999999997
167,201405,89.19,78.2,91.76,82.61,341.76
168,201406,47.32,27.36,78.27,72.58,225.52999999999997
169,201407,96.45,61.84,67.0,33.78,259.07000000000005
170,201408,23.95,16.3,42.27,30.09,112.61000000000001
171,201409,151.79,152.83,183.12,134.35,622.09
172,201410,29.13,34.77,27.85,33.67,125.42
173,201411,130.38,122.68,126.74,127.6,507.4
174,201412,147.05,276.9,210.0,191.16,825.11
175,201501,171.39,149.14,136.24,139.46,596.23
176,201502,180.47,189.04,202.77,206.4,778.68
177,201503,154.98,167.45,167.11,208.28,697.8199999999999
178,201504,59.91,48.9,36.84,57.34,202.99
179,201505,85.14,90.05,133.16,84.91,393.26
180,201506,12.49,13.22,18.18,19.28,63.17
181,201507,225.45,176.69,168.49,137.5,708.13
182,201508,28.68,33.91,44.52,43.73,150.84
183,201509,169.38,177.33,222.78,209.13,778.62
184,201510,216.74,200.91,220.25,139.96,777.86
185,201511,350.72,374.86,337.21,278.24,1341.03
186,201512,193.6,271.19,290.77,244.79,1000.3499999999999
187,201601,264.91,301.88,284.8,265.91,1117.5
188,201602,274.26,288.55,236.47,151.68,950.96
189,201603,67.22,96.07,105.15,122.65,391.09000000000003
190,201604,89.51,64.85,59.89,31.93,246.18
191,201605,143.12,148.82,168.45,142.12,602.51
192,201606,82.89,104.55,107.0,117.17,411.61
193,201607,31.93,25.35,39.21,32.83,129.32
194,201608,80.72,70.69,132.88,96.09,380.38
195,201609,45.23,50.89,64.73,49.02,209.87000000000003
196,201610,136.88,122.34,142.54,130.22,531.98
197,201611,34.93,72.47,77.24,60.29,244.92999999999998
198,201612,188.73,175.08,137.43,144.83,646.07
199,201701,189.82,223.18,288.25,283.11,984.36
200,201702,128.48,119.72,88.89,105.01,442.09999999999997
201,201703,113.18,136.45,112.77,114.85,477.25
202,201704,110.69,101.77,107.73,131.57,451.76
203,201705,226.05,187.64,160.59,159.75,734.03
204,201706,77.34,118.92,130.01,148.23,474.5
205,201707,0.51,0.32,1.03,1.8,3.66
206,201708,116.74,83.73,91.46,62.17,354.1
207,201709,11.2,3.65,4.66,1.97,21.479999999999997
208,201710,236.64,196.56,224.38,163.5,821.0799999999999
209,201711,117.97,167.03,172.09,160.18,617.27
210,201712,149.59,159.5,208.14,193.29,710.52
211,201801,285.79,220.07,224.77,227.07,957.7
212,201802,140.08,93.39,67.96,83.18,384.61
213,201803,146.04,173.57,161.21,208.61,689.4300000000001
214,201804,16.02,21.83,15.59,34.87,88.31
215,201805,42.89,32.02,40.05,39.94,154.89999999999998
216,201806,33.33,26.85,35.62,38.64,134.44
217,201807,0.02,0.63,1.84,5.4,7.890000000000001
218,201808,140.69,139.18,107.54,95.7,483.11
219,201809,128.24,112.11,99.99,82.6,422.94000000000005
220,201810,231.53,194.91,172.31,152.18,750.9300000000001
221,201811,132.16,114.68,81.85,94.23,422.92
222,201812,51.54,105.31,117.34,161.31,435.5
223,201901,111.78,159.46,187.73,167.5,626.47
224,201902,120.81,166.77,132.88,157.99,578.45
225,201903,129.36,128.54,100.83,84.83,443.55999999999995
226,201904,45.15,70.61,100.78,97.87,314.40999999999997
227,201905,49.79,59.38,78.55,67.34,255.06
228,201906,44.95,53.73,81.38,76.44,256.5
229,201907,49.7,55.07,63.06,70.19,238.02
230,201908,0.17,4.06,13.28,8.54,26.049999999999997
231,201909,69.28,67.89,111.82,68.79,317.78000000000003
232,201910,92.22,62.26,37.16,27.79,219.42999999999998
233,201911,78.72,145.96,212.84,184.44,621.96
234,201912,277.88,159.15,135.97,119.22,692.22
235,202001,152.97,116.08,135.65,112.23,516.9300000000001
236,202002,191.78,207.43,152.36,167.38,718.95
237,202003,50.7,53.48,35.02,71.21,210.41000000000003
238,202004,43.4,33.46,35.95,23.75,136.56
239,202005,55.65,67.39,54.05,23.98,201.06999999999996
240,202006,139.39,110.43,144.0,133.86,527.6800000000001
241,202007,14.53,16.49,42.87,29.66,103.54999999999998
242,202008,175.76,116.93,137.2,105.97,535.86
243,202009,12.39,17.87,14.46,18.05,62.769999999999996
244,202010,95.42,49.01,86.97,66.77,298.17
245,202011,37.7,70.82,99.22,108.1,315.84000000000003
246,202012,156.24,187.55,150.33,186.36,680.48
