date,date,year,month,furnas,marimbondo,paraibuna,solteira,itaipu,sao_simao,emborcacao,s_do_facao,batalha,itumbiara,nova_ponte,chavantes,tres_marias,tres_irmaos,b_bonita,serra_da_mesa
2005-07-01,2005-07-01,2005,7,29.43,25.18,57.52,54.27,31.21,2.11,4.84,4.84,4.84,3.74,3.74,60.57,3.28,20.65,20.65,0.47
2005-08-01,2005-08-01,2005,8,11.37,5.96,11.93,7.84,16.59,10.64,7.68,7.68,7.68,12.79,12.79,38.41,6.58,13.85,13.85,15.39
2005-09-01,2005-09-01,2005,9,87.84,77.44,91.55,71.48,139.83,49.38,43.56,43.56,43.56,76.93,76.93,195.49,58.09,68.33,68.33,70.68
2005-10-01,2005-10-01,2005,10,91.45,120.18,131.37,126.11,273.7,97.2,60.84,60.84,60.84,115.8,115.8,228.38,63.58,166.09,166.09,55.03
2005-11-01,2005-11-01,2005,11,156.61,145.54,84.55,158.11,99.76,177.31,294.77,294.77,294.77,272.04,272.04,84.78,218.83,101.43,101.43,233.22
2005-12-01,2005-12-01,2005,12,244.43,238.39,161.84,300.44,160.04,261.81,301.73,301.73,301.73,293.09,293.09,103.27,268.65,180.84,180.84,341.03
2006-01-01,2006-01-01,2006,1,165.02,242.92,198.56,235.07,178.42,119.78,188.5,188.5,188.5,189.34,189.34,190.25,142.75,229.89,229.89,108.11
2006-02-01,2006-02-01,2006,2,211.43,254.83,293.11,391.06,183.16,165.24,157.22,157.22,157.22,157.12,157.12,161.14,148.52,229.59,229.59,173.13
2006-03-01,2006-03-01,2006,3,197.22,208.3,170.45,150.29,157.51,213.25,275.98,275.98,275.98,224.59,224.59,94.66,209.31,196.09,196.09,185.78
2006-04-01,2006-04-01,2006,4,32.82,61.68,63.84,61.94,76.37,99.14,93.43,93.43,93.43,89.19,89.19,44.76,50.45,53.93,53.93,101.29
2006-05-01,2006-05-01,2006,5,26.96,16.84,40.33,53.97,28.27,15.36,22.69,22.69,22.69,31.89,31.89,6.53,18.73,18.9,18.9,10.68
2006-06-01,2006-06-01,2006,6,10.54,11.38,15.15,6.83,32.97,2.12,1.44,1.44,1.44,2.99,2.99,22.07,5.5,14.53,14.53,0.41
2006-07-01,2006-07-01,2006,7,8.38,3.89,63.62,3.21,27.48,2.7,1.46,1.46,1.46,0.77,0.77,48.57,0.42,22.85,22.85,0.02
2006-08-01,2006-08-01,2006,8,18.7,21.12,50.61,25.05,36.84,11.33,13.89,13.89,13.89,22.35,22.35,19.95,15.68,13.9,13.9,6.27
2006-09-01,2006-09-01,2006,9,69.05,49.71,100.58,59.77,118.39,37.95,58.95,58.95,58.95,60.79,60.79,120.93,63.94,63.85,63.85,76.01
2006-10-01,2006-10-01,2006,10,120.98,204.58,179.86,146.2,107.92,190.34,191.54,191.54,191.54,200.47,200.47,105.46,134.29,112.86,112.86,253.48
2006-11-01,2006-11-01,2006,11,197.92,176.85,216.78,145.56,121.06,171.86,160.96,160.96,160.96,156.91,156.91,58.83,181.44,108.61,108.61,197.89
2006-12-01,2006-12-01,2006,12,207.69,290.1,208.21,308.07,221.32,245.19,247.95,247.95,247.95,278.46,278.46,110.73,313.66,206.6,206.6,170.33
2007-01-01,2007-01-01,2007,1,436.44,407.43,225.19,551.1,244.68,225.76,328.78,328.78,328.78,310.98,310.98,209.8,332.37,343.47,343.47,182.79
2007-02-01,2007-02-01,2007,2,96.42,153.83,140.34,156.4,147.0,177.64,188.75,188.75,188.75,158.78,158.78,150.82,120.28,134.79,134.79,239.94
2007-03-01,2007-03-01,2007,3,75.24,120.77,87.22,147.44,91.36,99.96,39.61,39.61,39.61,47.97,47.97,102.67,46.26,103.38,103.38,64.23
