,year_month,accumulate_basinp,accumulate_riop,accumulate_simao,accumulate_emborcacao,accumulate_itumbiara,Paranaiba_total
237,202003,114.2,260.2,127.06,211.88,139.13,852.4699999999999
238,202004,46.39,131.02,68.55,98.11,47.62,391.69000000000005
239,202005,30.47,41.93,27.75,34.96,30.84,165.95000000000002
240,202006,4.49,17.7,0.3,1.18,1.32,24.99
241,202007,1.0,2.05,2.66,0.81,3.71,10.23
242,202008,2.23,1.45,1.57,0.88,1.42,7.55
243,202009,13.02,2.33,11.51,9.11,11.27,47.239999999999995
244,202010,105.19,19.33,95.27,110.61,94.09,424.49
245,202011,63.3,109.0,114.72,113.66,111.29,511.96999999999997
246,202012,246.16,36.8,253.04,282.34,328.7,1147.04
