date,date,year,month,Total_accumulate
2016-07-01,2016-07-01,2016,7,245.16
2016-08-01,2016-08-01,2016,8,1303.4800000000002
2016-09-01,2016-09-01,2016,9,1503.5700000000002
2016-10-01,2016-10-01,2016,10,4126.39
2016-11-01,2016-11-01,2016,11,6488.339999999999
2016-12-01,2016-12-01,2016,12,6792.9400000000005
2017-01-01,2017-01-01,2017,1,7880.28
2017-02-01,2017-02-01,2017,2,4764.680000000001
2017-03-01,2017-03-01,2017,3,5517.0199999999995
2017-04-01,2017-04-01,2017,4,3260.859999999999
2017-05-01,2017-05-01,2017,5,3231.459999999999
2017-06-01,2017-06-01,2017,6,1186.0
2017-07-01,2017-07-01,2017,7,165.98
2017-08-01,2017-08-01,2017,8,1161.34
2017-09-01,2017-09-01,2017,9,227.32999999999996
2017-10-01,2017-10-01,2017,10,3735.45
2017-11-01,2017-11-01,2017,11,6931.0599999999995
2017-12-01,2017-12-01,2017,12,7662.04
2018-01-01,2018-01-01,2018,1,7782.6500000000015
2018-02-01,2018-02-01,2018,2,6438.13
2018-03-01,2018-03-01,2018,3,5644.49
2018-04-01,2018-04-01,2018,4,2537.46
2018-05-01,2018-05-01,2018,5,993.54
2018-06-01,2018-06-01,2018,6,618.01
2018-07-01,2018-07-01,2018,7,157.23
2018-08-01,2018-08-01,2018,8,1975.7599999999998
2018-09-01,2018-09-01,2018,9,2680.4500000000003
2018-10-01,2018-10-01,2018,10,6039.9400000000005
2018-11-01,2018-11-01,2018,11,7959.119999999999
2018-12-01,2018-12-01,2018,12,6246.1900000000005
2019-01-01,2019-01-01,2019,1,4892.2300000000005
2019-02-01,2019-02-01,2019,2,7357.719999999999
2019-03-01,2019-03-01,2019,3,6388.25
2019-04-01,2019-04-01,2019,4,4137.54
2019-05-01,2019-05-01,2019,5,2216.84
2019-06-01,2019-06-01,2019,6,689.0300000000001
2019-07-01,2019-07-01,2019,7,906.71
2019-08-01,2019-08-01,2019,8,1061.6
2019-09-01,2019-09-01,2019,9,1991.1799999999998
2019-10-01,2019-10-01,2019,10,2821.8399999999997
2019-11-01,2019-11-01,2019,11,6335.810000000001
2019-12-01,2019-12-01,2019,12,7861.72
2020-01-01,2020-01-01,2020,1,9543.050000000001
2020-02-01,2020-02-01,2020,2,10182.3
2020-03-01,2020-03-01,2020,3,5194.34
2020-04-01,2020-04-01,2020,4,2260.5
2020-05-01,2020-05-01,2020,5,1400.57
2020-06-01,2020-06-01,2020,6,1169.1299999999999
2020-07-01,2020-07-01,2020,7,334.97999999999996
2020-08-01,2020-08-01,2020,8,1118.32
2020-09-01,2020-09-01,2020,9,811.73
2020-10-01,2020-10-01,2020,10,3501.84
2020-11-01,2020-11-01,2020,11,4349.61
2020-12-01,2020-12-01,2020,12,9151.05
