Month,Reservoir,Vol_Uti_percent
Sep-12,TRÊS IRMÃOS,63.4
Oct-12,TRÊS IRMÃOS,54.8
Nov-12,TRÊS IRMÃOS,52.98
Dec-12,TRÊS IRMÃOS,55.82
Jan-13,TRÊS IRMÃOS,56.63
Feb-13,TRÊS IRMÃOS,57.04
Mar-13,TRÊS IRMÃOS,80.78
Apr-13,TRÊS IRMÃOS,89.56
May-13,TRÊS IRMÃOS,81.41
Jun-13,TRÊS IRMÃOS,90.2
Jul-13,TRÊS IRMÃOS,86.97
Aug-13,TRÊS IRMÃOS,80.78
Sep-13,TRÊS IRMÃOS,60.93
Oct-13,TRÊS IRMÃOS,63.19
Nov-13,TRÊS IRMÃOS,60.31
Dec-13,TRÊS IRMÃOS,57.65
Jan-14,TRÊS IRMÃOS,44.35
Feb-14,TRÊS IRMÃOS,38.81
Mar-14,TRÊS IRMÃOS,43.56
Apr-14,TRÊS IRMÃOS,28.68
May-14,TRÊS IRMÃOS,13.35
Jun-14,TRÊS IRMÃOS,0
Jul-14,TRÊS IRMÃOS,0
Aug-14,TRÊS IRMÃOS,0
Sep-14,TRÊS IRMÃOS,0
Oct-14,TRÊS IRMÃOS,0
Nov-14,TRÊS IRMÃOS,0
Dec-14,TRÊS IRMÃOS,0
Jan-15,TRÊS IRMÃOS,0
Feb-15,TRÊS IRMÃOS,0
Mar-15,TRÊS IRMÃOS,0
Apr-15,TRÊS IRMÃOS,0
May-15,TRÊS IRMÃOS,0
Jun-15,TRÊS IRMÃOS,0
Jul-15,TRÊS IRMÃOS,0
Aug-15,TRÊS IRMÃOS,0
Sep-15,TRÊS IRMÃOS,0
Oct-15,TRÊS IRMÃOS,0
Nov-15,TRÊS IRMÃOS,0
Dec-15,TRÊS IRMÃOS,0
Jan-16,TRÊS IRMÃOS,67.12
Feb-16,TRÊS IRMÃOS,91.72
Mar-16,TRÊS IRMÃOS,96.06
Apr-16,TRÊS IRMÃOS,87.62
May-16,TRÊS IRMÃOS,88.05
Jun-16,TRÊS IRMÃOS,98.03
Jul-16,TRÊS IRMÃOS,86.54
Aug-16,TRÊS IRMÃOS,88.26
Sep-16,TRÊS IRMÃOS,83.12
Oct-16,TRÊS IRMÃOS,59.9
Nov-16,TRÊS IRMÃOS,66.5
Dec-16,TRÊS IRMÃOS,56.63
Jan-17,TRÊS IRMÃOS,68.16
Feb-17,TRÊS IRMÃOS,68.37
Mar-17,TRÊS IRMÃOS,81.84
Apr-17,TRÊS IRMÃOS,92.58
May-17,TRÊS IRMÃOS,96.5
Jun-17,TRÊS IRMÃOS,79.08
Jul-17,TRÊS IRMÃOS,64.84
Aug-17,TRÊS IRMÃOS,67.74
Sep-17,TRÊS IRMÃOS,60.11
Oct-17,TRÊS IRMÃOS,52.17
Nov-17,TRÊS IRMÃOS,74.64
Dec-17,TRÊS IRMÃOS,64.64
Jan-18,TRÊS IRMÃOS,75.7
Feb-18,TRÊS IRMÃOS,86.54
Mar-18,TRÊS IRMÃOS,85.69
Apr-18,TRÊS IRMÃOS,83.97
May-18,TRÊS IRMÃOS,83.97
Jun-18,TRÊS IRMÃOS,79.29
Jul-18,TRÊS IRMÃOS,93.24
Aug-18,TRÊS IRMÃOS,68.58
Sep-18,TRÊS IRMÃOS,77.38
Oct-18,TRÊS IRMÃOS,75.49
Nov-18,TRÊS IRMÃOS,61.34
Dec-18,TRÊS IRMÃOS,58.27
Jan-19,TRÊS IRMÃOS,53.99
Feb-19,TRÊS IRMÃOS,69.41
Mar-19,TRÊS IRMÃOS,86.11
Apr-19,TRÊS IRMÃOS,97.15
May-19,TRÊS IRMÃOS,81.63
Jun-19,TRÊS IRMÃOS,61.34
Jul-19,TRÊS IRMÃOS,73.38
Aug-19,TRÊS IRMÃOS,77.6
Sep-19,TRÊS IRMÃOS,62.78
Oct-19,TRÊS IRMÃOS,66.5
Nov-19,TRÊS IRMÃOS,57.86
Dec-19,TRÊS IRMÃOS,62.37
Jan-20,TRÊS IRMÃOS,56.23
Feb-20,TRÊS IRMÃOS,70.87
Mar-20,TRÊS IRMÃOS,75.28
Apr-20,TRÊS IRMÃOS,54.2
May-20,TRÊS IRMÃOS,61.54
Jun-20,TRÊS IRMÃOS,64.02
Jul-20,TRÊS IRMÃOS,71.70999908
Aug-20,TRÊS IRMÃOS,62.15999985
Sep-20,TRÊS IRMÃOS,59.08000183
Oct-20,TRÊS IRMÃOS,53.79000092
Nov-20,TRÊS IRMÃOS,48.95000076
Dec-20,TRÊS IRMÃOS,51.77000046
Jan-21,TRÊS IRMÃOS,64.43000031
Feb-21,TRÊS IRMÃOS,52.97999954
Mar-21,TRÊS IRMÃOS,65.66999817
Apr-21,TRÊS IRMÃOS,48.54999924
May-21,TRÊS IRMÃOS,46.75
Jun-21,TRÊS IRMÃOS,46.15000153
Jul-21,TRÊS IRMÃOS,41.38000107
Jan-99,TOCOS,0
Feb-99,TOCOS,0
Mar-99,TOCOS,0
Apr-99,TOCOS,0
May-99,TOCOS,0
Jun-99,TOCOS,0
Jul-99,TOCOS,0
Aug-99,TOCOS,0
Sep-99,TOCOS,0
Oct-99,TOCOS,0
Nov-99,TOCOS,0
Dec-99,TOCOS,0
Jan-00,TOCOS,0
Feb-00,TOCOS,0
Mar-00,TOCOS,0
Apr-00,TOCOS,0
May-00,TOCOS,0
Jun-00,TOCOS,0
Jul-00,TOCOS,0
Aug-00,TOCOS,0
Sep-00,TOCOS,0
Oct-00,TOCOS,0
Nov-00,TOCOS,0
Dec-00,TOCOS,0
Jan-01,TOCOS,0
Feb-01,TOCOS,0
Mar-01,TOCOS,0
Apr-01,TOCOS,0
May-01,TOCOS,0
Jun-01,TOCOS,0
Jul-01,TOCOS,0
Aug-01,TOCOS,0
Sep-01,TOCOS,0
Oct-01,TOCOS,0
Nov-01,TOCOS,0
Dec-01,TOCOS,0
Jan-02,TOCOS,0
Feb-02,TOCOS,0
Mar-02,TOCOS,0
Apr-02,TOCOS,0
May-02,TOCOS,0
Jun-02,TOCOS,0
Jul-02,TOCOS,0
Aug-02,TOCOS,0
Sep-02,TOCOS,0
Oct-02,TOCOS,0
Nov-02,TOCOS,0
Dec-02,TOCOS,0
Jan-03,TOCOS,0
Feb-03,TOCOS,0
Mar-03,TOCOS,0
Apr-03,TOCOS,0
Aug-03,TOCOS,0
Sep-03,TOCOS,0
Jan-06,TOCOS,15.05
Feb-06,TOCOS,24.73
Mar-06,TOCOS,15.05
Apr-06,TOCOS,13.98
May-06,TOCOS,13.44
Jun-06,TOCOS,12.37
Jul-06,TOCOS,13.44
Aug-06,TOCOS,11.83
Sep-06,TOCOS,11.83
Oct-06,TOCOS,11.29
Nov-06,TOCOS,131.18
Dec-06,TOCOS,93.01
Jan-07,TOCOS,109.14
Feb-07,TOCOS,11.83
Mar-07,TOCOS,13.44
Apr-07,TOCOS,13.44
May-07,TOCOS,13.44
Jun-07,TOCOS,12.37
Jul-07,TOCOS,11.83
Aug-07,TOCOS,11.29
Sep-07,TOCOS,12.37
Oct-07,TOCOS,10.75
Nov-07,TOCOS,12.9
Dec-07,TOCOS,11.83
Jan-08,TOCOS,68.28
Feb-08,TOCOS,17.74
Mar-08,TOCOS,99.46
Apr-08,TOCOS,50
May-08,TOCOS,48.39
Jun-08,TOCOS,13.44
Jul-08,TOCOS,107.53
Aug-08,TOCOS,109.68
Sep-08,TOCOS,107.53
Oct-08,TOCOS,11.83
Nov-08,TOCOS,58.06
Dec-08,TOCOS,17.2
Jan-09,TOCOS,18.82
Feb-09,TOCOS,0.54
Mar-09,TOCOS,21.51
Apr-09,TOCOS,14.52
May-09,TOCOS,15.05
Jun-09,TOCOS,12.9
Jul-09,TOCOS,12.9
Aug-09,TOCOS,11.29
Sep-09,TOCOS,27.96
Oct-09,TOCOS,27.96
Nov-09,TOCOS,15.05
Dec-09,TOCOS,124.73
Jan-10,TOCOS,1.08
Feb-10,TOCOS,87.63
Mar-10,TOCOS,100.54
Apr-10,TOCOS,117.74
May-10,TOCOS,17.2
Jun-10,TOCOS,15.59
Jul-10,TOCOS,0
Aug-10,TOCOS,108.06
Sep-10,TOCOS,108.6
Oct-10,TOCOS,15.05
Nov-10,TOCOS,16.67
Dec-10,TOCOS,3.76
Jan-11,TOCOS,0
Feb-11,TOCOS,126.88
Mar-11,TOCOS,86.56
Apr-11,TOCOS,30.11
May-11,TOCOS,17.74
Jun-11,TOCOS,17.2
Jul-11,TOCOS,0
Aug-11,TOCOS,0
Sep-11,TOCOS,15.59
Oct-11,TOCOS,17.2
Nov-11,TOCOS,16.13
Dec-11,TOCOS,17.2
Jan-12,TOCOS,20.43
Feb-12,TOCOS,16.67
Mar-12,TOCOS,17.2
Apr-12,TOCOS,20.43
May-12,TOCOS,16.13
Jun-12,TOCOS,16.13
Jul-12,TOCOS,15.59
Aug-12,TOCOS,15.05
Sep-12,TOCOS,15.05
Oct-12,TOCOS,14.52
Nov-12,TOCOS,15.59
Dec-12,TOCOS,19.89
Jan-13,TOCOS,107.53
Feb-13,TOCOS,102.15
