,year_month,accumulate_riogrande,accumulate_pardo,accumulate_vermelha,accumulate_caconde,accumulate_furnas,accumulate_marimbondo,accumulate_mascarenha,accumulate_camargos,Grande_total
158,201308,0.56,6.19,0.16,6.12,5.69,6.14,7.81,2.09,34.760000000000005
159,201309,31.92,65.83,65.77,53.74,60.24,60.67,40.02,61.39,439.58
160,201310,92.83,99.42,95.88,107.1,96.31,124.89,68.2,98.01,782.6400000000001
161,201311,79.28,143.59,149.56,191.96,169.75,162.74,113.4,146.41,1156.69
162,201312,176.37,151.22,162.62,125.36,160.15,169.19,169.71,162.5,1277.1200000000001
163,201401,178.26,51.66,92.68,58.19,90.79,83.87,66.28,69.22,690.95
164,201402,111.3,55.01,145.34,72.66,38.87,73.44,23.94,55.29,575.8499999999999
165,201403,160.52,81.74,221.99,104.47,87.77,112.22,88.53,96.4,953.64
166,201404,55.35,78.21,65.66,86.48,82.07,73.04,91.84,55.11,587.76
167,201405,29.72,11.5,18.0,32.86,17.76,15.76,5.68,14.19,145.47
168,201406,6.25,4.14,3.12,6.53,9.94,3.69,1.63,8.37,43.67
169,201407,80.46,46.68,49.67,43.83,46.36,45.05,72.54,23.69,408.28000000000003
170,201408,0.15,0.17,0.12,4.49,10.33,1.19,0.08,13.53,30.060000000000002
171,201409,84.0,39.77,69.03,36.82,31.02,43.34,14.57,19.67,338.22
172,201410,44.12,40.61,24.43,34.81,37.21,37.75,43.64,22.33,284.9
173,201411,179.2,171.9,232.41,162.03,149.25,176.03,171.03,153.69,1395.54
174,201412,167.41,166.88,169.45,141.0,141.58,191.46,148.04,129.48,1255.3000000000002
175,201501,179.73,99.81,149.01,47.29,84.98,87.63,86.75,107.07,842.27
176,201502,307.45,160.03,162.78,102.47,166.4,197.13,251.18,184.54,1531.98
177,201503,188.86,166.35,166.16,125.61,159.52,197.85,197.43,168.52,1370.3
178,201504,43.79,53.97,53.55,24.07,43.62,72.24,73.12,44.48,408.84000000000003
179,201505,128.57,47.59,73.25,52.75,48.93,74.62,58.59,39.64,523.9399999999999
180,201506,22.98,11.0,14.1,28.28,29.44,19.35,16.89,27.26,169.3
181,201507,65.71,10.69,30.81,10.81,11.34,22.67,6.43,4.48,162.93999999999997
182,201508,13.35,6.12,7.76,10.01,20.04,5.8,13.83,32.36,109.27
183,201509,97.02,95.48,107.84,90.8,121.36,112.54,84.75,127.78,837.5699999999999
184,201510,74.17,71.05,80.48,85.34,53.64,77.91,57.63,72.86,573.0799999999999
185,201511,239.47,183.24,248.17,143.13,181.99,210.38,146.17,180.65,1533.2000000000003
186,201512,161.53,169.51,161.33,231.39,208.54,208.54,179.19,160.56,1480.59
187,201601,307.86,301.21,386.11,229.66,329.39,354.66,250.35,326.78,2486.0200000000004
188,201602,97.76,176.75,142.36,149.17,142.67,167.69,123.48,115.23,1115.11
189,201603,103.11,178.77,169.76,174.79,169.89,216.08,199.74,171.57,1383.7099999999998
190,201604,50.92,5.66,23.4,3.23,20.24,8.84,13.52,24.61,150.42
191,201605,85.46,44.08,66.61,23.26,19.61,42.77,24.59,11.25,317.62999999999994
192,201606,42.04,92.38,54.34,39.06,81.54,86.51,46.24,57.64,499.75
193,201607,1.25,0.36,0.45,1.51,0.37,0.51,0.01,0.26,4.72
