Date,Max_Demand
9/18/00,34373.3
9/19/00,35236.6
9/20/00,35354.4
9/21/00,35506
9/22/00,34825.1
9/23/00,34043
9/24/00,30762.5
9/25/00,33833.6
9/26/00,33803.1
9/27/00,34255.8
9/28/00,34503.6
9/29/00,34677.1
9/30/00,33307
10/1/00,28753.9
10/2/00,34484
10/3/00,35083.2
10/4/00,34489.9
10/5/00,35048.7
10/6/00,34753.7
10/7/00,33078.8
10/8/00,29573.9
10/9/00,34140.5
10/10/00,33844.6
10/11/00,33934.2
10/12/00,30410
10/13/00,33223.2
10/14/00,32381.8
10/15/00,30236.7
10/16/00,33658.2
10/17/00,33983.3
10/18/00,33864
10/19/00,33771.4
10/20/00,33424.8
10/21/00,32764.7
10/22/00,30424.3
10/23/00,34006
10/24/00,33570.5
10/25/00,33682.7
10/26/00,33854.3
10/27/00,33827
10/28/00,31686
10/29/00,28869.9
10/30/00,32145.7
10/31/00,33007.6
11/1/00,32959.6
11/2/00,30029.5
11/3/00,32255
11/4/00,31518
11/5/00,29173.1
11/6/00,32444
11/7/00,32070
11/8/00,32715.6
11/9/00,32876.7
11/10/00,32477
11/11/00,32116
11/12/00,29535.9
11/13/00,32884
11/14/00,31947
11/15/00,29455.5
11/16/00,32248
11/17/00,31985.3
11/18/00,30647.5
11/19/00,28707.5
11/20/00,32740
11/21/00,32942.3
11/22/00,32938
11/23/00,33094.6
11/24/00,33339.3
11/25/00,32190.6
11/26/00,29608.7
11/27/00,33016.9
11/28/00,33041
11/29/00,33294.2
11/30/00,33299.5
12/1/00,32201
12/2/00,31894.5
12/3/00,29598.8
12/4/00,33080
12/5/00,33342
12/6/00,33116.9
12/7/00,33540.8
12/8/00,33067
12/9/00,32468
12/10/00,29861.7
12/11/00,33660.9
12/12/00,34038
12/13/00,33782.5
12/14/00,33996
12/15/00,33541.7
12/16/00,32055.1
12/17/00,28120.5
12/18/00,31655
12/19/00,32559.8
12/20/00,32396.3
12/21/00,32544.6
12/22/00,32240.2
12/23/00,30785
12/24/00,29304.4
12/25/00,26950.8
12/26/00,31407.8
12/27/00,31927.5
12/28/00,32072.9
12/29/00,31309.3
12/30/00,29995.8
12/31/00,29983.1
1/1/01,26096
1/2/01,31202.5
1/3/01,31510
1/4/01,31858
1/5/01,32247
1/6/01,31343
1/7/01,29324
1/8/01,32235.9
1/9/01,32276.3
1/10/01,32648
1/11/01,33190.9
1/12/01,32895.7
1/13/01,31168
1/14/01,29152.1
1/15/01,32639.9
1/16/01,33291.5
1/17/01,33106.1
1/18/01,33767.2
1/19/01,33487
1/20/01,31533.8
1/21/01,29197.1
1/22/01,32614.6
1/23/01,32824.9
1/24/01,32569.5
1/25/01,32469
1/26/01,33176
1/27/01,31740.4
1/28/01,30098.2
1/29/01,33420
1/30/01,33169
1/31/01,33182.2
2/1/01,33406.3
2/2/01,33208.7
2/3/01,31977.9
2/4/01,29947.5
2/5/01,32729.8
2/6/01,33143.1
2/7/01,33088
2/8/01,33119.4
2/9/01,32822.2
2/10/01,31668.9
2/11/01,30067.6
2/12/01,33094
2/13/01,33215
2/14/01,33414
2/15/01,33873.8
2/16/01,33083.3
2/17/01,32505
2/18/01,30298
2/19/01,34417
2/20/01,34475.1
2/21/01,34305.2
2/22/01,34520
2/23/01,33786.4
2/24/01,32336
2/25/01,29608.2
2/26/01,30626.9
2/27/01,31121.6
2/28/01,33083.3
3/1/01,34598.7
3/2/01,34018.3
3/3/01,33169
3/4/01,30428.7
3/5/01,33622.4
3/6/01,34911
3/7/01,35257.5
3/8/01,34848.2
3/9/01,35114.1
3/10/01,33426
3/11/01,29944.9
3/12/01,34368.7
3/13/01,35158
3/14/01,35463.9
3/15/01,35101.7
3/16/01,34807.3
3/17/01,33229.3
3/18/01,30800
3/19/01,34509
3/20/01,34672.4
3/21/01,34798.8
3/22/01,34941.3
3/23/01,35143.4
3/24/01,33907.2
3/25/01,30903.8
3/26/01,34775.2
3/27/01,34916.2
3/28/01,34672.5
3/29/01,34708
3/30/01,34146.5
3/31/01,33060
4/1/01,29766.3
4/2/01,34432.6
4/3/01,34778.3
4/4/01,34567
4/5/01,35365.6
4/6/01,35389.7
4/7/01,33995
4/8/01,30768.5
4/9/01,34919.8
4/10/01,35846.7
4/11/01,35627.3
4/12/01,34014.2
4/13/01,29857.1
4/14/01,32480
4/15/01,30095.4
4/16/01,34609
4/17/01,35094.4
4/18/01,35279.1
4/19/01,35581.4
4/20/01,35298.7
4/21/01,33815.1
4/22/01,31168
4/23/01,35604.8
4/24/01,36342
4/25/01,36008
4/26/01,35791.9
4/27/01,35467.8
4/28/01,34271
4/29/01,31202.7
4/30/01,33749.8
5/1/01,30999.6
5/2/01,35616.5
5/3/01,35655.4
5/4/01,34415.1
5/5/01,32362.4
5/6/01,30222.4
5/7/01,33710.8
5/8/01,33954.4
5/9/01,34585.8
5/10/01,34892
5/11/01,33894.9
5/12/01,32502
5/13/01,28618
5/14/01,32724
5/15/01,32991
5/16/01,32750.1
5/17/01,33033.9
5/18/01,31560.2
5/19/01,30143.7
5/20/01,27684.4
5/21/01,30677.1
5/22/01,30669.2
5/23/01,30291
5/24/01,29565.1
5/25/01,29324.5
5/26/01,29268.9
5/27/01,26466.8
5/28/01,29628.9
5/29/01,29687.9
5/30/01,29873
5/31/01,29154.1
6/1/01,28156
6/2/01,27322.4
6/3/01,25224.6
6/4/01,27513.5
6/5/01,27192.1
6/6/01,27256.6
6/7/01,26899.6
6/8/01,27028.5
6/9/01,26060.6
6/10/01,24148.4
6/11/01,26326.5
6/12/01,26585.6
6/13/01,26503.5
6/14/01,24212.3
6/15/01,25677.7
6/16/01,25755.2
6/17/01,23470.2
6/18/01,25642.4
6/19/01,26361.7
6/20/01,25788.4
