Date,energy_charge
14-Jan-00,648.6482
15-Jan-00,589.5792
16-Jan-00,526.3151
17-Jan-00,636.5681
18-Jan-00,653.1015
19-Jan-00,651.9767
20-Jan-00,606.9423
21-Jan-00,623.449
22-Jan-00,565.7386
23-Jan-00,512.7173
24-Jan-00,616.1577
25-Jan-00,620.9816
26-Jan-00,641.4867
27-Jan-00,612.9622
28-Jan-00,600.373
29-Jan-00,544.1919
30-Jan-00,492.3621
31-Jan-00,613.3284
1-Feb-00,627.231
2-Feb-00,629.2148
3-Feb-00,634.1755
4-Feb-00,647.605
5-Feb-00,584.5948
6-Feb-00,511.5944
7-Feb-00,612.6371
8-Feb-00,629.8033
9-Feb-00,635.0405
10-Feb-00,642.6736
11-Feb-00,647.8695
12-Feb-00,587.3828
13-Feb-00,526.3929
14-Feb-00,633.9355
15-Feb-00,660.5752
16-Feb-00,657.7014
17-Feb-00,631.5206
18-Feb-00,609.2452
19-Feb-00,554.9071
20-Feb-00,496.2666
21-Feb-00,607.3621
22-Feb-00,633.8252
23-Feb-00,650.4064
24-Feb-00,658.5583
25-Feb-00,658.2515
26-Feb-00,596.3162
27-Feb-00,536.6278
28-Feb-00,648.9221
29-Feb-00,659.1604
1-Mar-00,651.9274
2-Mar-00,654.1112
3-Mar-00,648.55
4-Mar-00,574.1612
5-Mar-00,515.1776
6-Mar-00,551.5962
7-Mar-00,542.9399
8-Mar-00,585.4273
9-Mar-00,614.2708
10-Mar-00,624.1989
11-Mar-00,575.1075
12-Mar-00,510.1214
13-Mar-00,605.4997
14-Mar-00,627.4943
15-Mar-00,639.0221
16-Mar-00,651.6886
17-Mar-00,656.699
18-Mar-00,599.3852
19-Mar-00,523.787038
20-Mar-00,619.7231
21-Mar-00,635.6815
22-Mar-00,645.044
23-Mar-00,646.7661
24-Mar-00,654.3202
25-Mar-00,598.9762
26-Mar-00,534.6424
27-Mar-00,646.2501
28-Mar-00,662.736
29-Mar-00,654.1835
30-Mar-00,646.931
31-Mar-00,653.8967
1-Apr-00,594.3713
2-Apr-00,526.2421
3-Apr-00,620.7819
4-Apr-00,626.8627
5-Apr-00,633.4373
6-Apr-00,638.4495
7-Apr-00,646.946
8-Apr-00,594.6096
9-Apr-00,535.7306
10-Apr-00,643.6897
11-Apr-00,660.3032
12-Apr-00,662.548
13-Apr-00,666.0731
14-Apr-00,668.9416
15-Apr-00,607.1095
16-Apr-00,532.9401
17-Apr-00,633.32634
18-Apr-00,652.2126
19-Apr-00,654.5823
20-Apr-00,631.7374
21-Apr-00,498.0098
22-Apr-00,533.0668
23-Apr-00,496.4066
24-Apr-00,611.6214
25-Apr-00,634.4687
26-Apr-00,637.8276
27-Apr-00,641.25166
28-Apr-00,646.6524
29-Apr-00,593.3757
30-Apr-00,529.8833
1-May-00,525.1569
2-May-00,647.455
3-May-00,665.9931
4-May-00,669.1001
5-May-00,662.9366
6-May-00,604.5859
7-May-00,529.4817
8-May-00,627.3753
9-May-00,640.3164
10-May-00,635.5837
11-May-00,631.5037
12-May-00,627.3199
13-May-00,579.832
14-May-00,510.4709
15-May-00,618.3875
16-May-00,639.1653
17-May-00,647.6066
18-May-00,637.4369
19-May-00,632.4321
20-May-00,585.1316
21-May-00,517.0794
22-May-00,610.3418
23-May-00,629.5742
24-May-00,630.5098
25-May-00,630.9967
26-May-00,638.7203
27-May-00,589.8268
28-May-00,519.0504
29-May-00,602.8738
30-May-00,623.5035
31-May-00,630.6441
1-Jun-00,633.6338
2-Jun-00,635.3032
3-Jun-00,584.4427
4-Jun-00,520.9529
5-Jun-00,620.5459
6-Jun-00,636.9688
7-Jun-00,641.2613
8-Jun-00,644.4995
9-Jun-00,651.1307
10-Jun-00,598.2994
11-Jun-00,531.24
12-Jun-00,632.6356
13-Jun-00,646.6063
14-Jun-00,653.6472
15-Jun-00,654.4292
16-Jun-00,653.6827
17-Jun-00,601.8986
18-Jun-00,533.4118
19-Jun-00,637.0833
20-Jun-00,657.0481
21-Jun-00,644.6702
22-Jun-00,540.2678
23-Jun-00,594.1796
24-Jun-00,566.1293
25-Jun-00,517.2031
26-Jun-00,629.0188
27-Jun-00,654.4552
28-Jun-00,652.8966
29-Jun-00,651.6834
30-Jun-00,652.9232
1-Jul-00,587.4739
2-Jul-00,525.7146
3-Jul-00,632.8013
4-Jul-00,643.1333
5-Jul-00,642.8923
6-Jul-00,640.6506
7-Jul-00,644.0189
8-Jul-00,592.626
9-Jul-00,531.2791
10-Jul-00,638.0841
11-Jul-00,661.2179
12-Jul-00,652.1518
13-Jul-00,637.9377
14-Jul-00,635.6742
15-Jul-00,585.817
16-Jul-00,510.8986
17-Jul-00,595.459
18-Jul-00,612.1163
19-Jul-00,624.3884
20-Jul-00,624.5099
21-Jul-00,631.1723
22-Jul-00,594.5992
23-Jul-00,527.5778
24-Jul-00,609.0084
25-Jul-00,629.4374
26-Jul-00,633.0772
27-Jul-00,631.7848
28-Jul-00,629.9709
29-Jul-00,580.9721
30-Jul-00,519.4782
31-Jul-00,617.2748
1-Aug-00,637.1315
2-Aug-00,644.8882
3-Aug-00,649.1859
4-Aug-00,645.0483
5-Aug-00,580.9992
6-Aug-00,514.5219
7-Aug-00,624.256
8-Aug-00,644.245
9-Aug-00,652.3279
10-Aug-00,654.7322
11-Aug-00,647.2073
12-Aug-00,579.5176
13-Aug-00,509.0517
14-Aug-00,617.4443
15-Aug-00,634.1713
16-Aug-00,647.6139
17-Aug-00,649.8545
18-Aug-00,647.2436
19-Aug-00,589.2901
20-Aug-00,528.6261
21-Aug-00,627.4985
22-Aug-00,649.6725
23-Aug-00,658.5204
24-Aug-00,669.5193
25-Aug-00,673.8705
26-Aug-00,624.4055
27-Aug-00,558.2493
28-Aug-00,650.6714
29-Aug-00,643.5156
30-Aug-00,641.264
31-Aug-00,654.2094
1-Sep-00,657.14551
2-Sep-00,601.3177
3-Sep-00,525.4599
4-Sep-00,614.1626
5-Sep-00,632.2043
6-Sep-00,638.0631
7-Sep-00,551.2956
8-Sep-00,599.3411
9-Sep-00,572.289
10-Sep-00,527.9792
11-Sep-00,648.2642
12-Sep-00,668.5338
13-Sep-00,670.1879
14-Sep-00,667.6108
15-Sep-00,673.6809
16-Sep-00,611.5702
17-Sep-00,538.0188
18-Sep-00,640.3785
19-Sep-00,667.4779
20-Sep-00,673.97584
21-Sep-00,680.4905
22-Sep-00,679.9063
23-Sep-00,622.4807
24-Sep-00,560.8993
25-Sep-00,650.4414
26-Sep-00,645.4513
27-Sep-00,639.7369
28-Sep-00,639.127
29-Sep-00,652.8683
30-Sep-00,602.3637
1-Oct-00,520.4259
2-Oct-00,642.2877
3-Oct-00,675.2371
4-Oct-00,681.8085
5-Oct-00,686.0274
6-Oct-00,677.1605
7-Oct-00,610.6236
8-Oct-00,540.1644522
9-Oct-00,651.7547
10-Oct-00,677.8046
11-Oct-00,685.6268
12-Oct-00,588.8543
13-Oct-00,660.0364
14-Oct-00,619.3112
15-Oct-00,558.3288
16-Oct-00,670.3256
17-Oct-00,697.6866
18-Oct-00,705.7387
19-Oct-00,709.6759
20-Oct-00,707.8304
21-Oct-00,641.9631
22-Oct-00,571.2016
23-Oct-00,689.1895
24-Oct-00,701.9317
25-Oct-00,701.0833
26-Oct-00,701.2492
27-Oct-00,702.405
28-Oct-00,634.6196
29-Oct-00,539.2912
30-Oct-00,639.7757
31-Oct-00,656.2291
1-Nov-00,656.8495
2-Nov-00,578.618
3-Nov-00,647.355
4-Nov-00,601.0018
5-Nov-00,539.4447
6-Nov-00,651.3779
7-Nov-00,657.638
8-Nov-00,649.0292
9-Nov-00,657.4675
10-Nov-00,666.8563
11-Nov-00,614.9732
12-Nov-00,550.5858
13-Nov-00,655.7318
14-Nov-00,664.2557
15-Nov-00,560.5898
16-Nov-00,632.0788
17-Nov-00,646.589
18-Nov-00,588.086
19-Nov-00,521.5439
20-Nov-00,629.6757
21-Nov-00,668.5081
22-Nov-00,664.1854
23-Nov-00,668.3025
24-Nov-00,678.1499
25-Nov-00,625.2308
26-Nov-00,547.8287
27-Nov-00,648.4524
28-Nov-00,669.081
29-Nov-00,681.2303
30-Nov-00,681.7046
1-Dec-00,658.2667
2-Dec-00,597.1273
3-Dec-00,536.2872
4-Dec-00,661.3009
5-Dec-00,677.0865
6-Dec-00,664.087
7-Dec-00,663.9098
8-Dec-00,661.2055
9-Dec-00,619.4233
10-Dec-00,561.0311
11-Dec-00,664.307
12-Dec-00,689.48575
13-Dec-00,697.3402
14-Dec-00,694.8767
15-Dec-00,690.2625
16-Dec-00,630.7331
17-Dec-00,544.889
18-Dec-00,614.01397
19-Dec-00,638.4498
20-Dec-00,645.6715
21-Dec-00,647.8004
22-Dec-00,649.3555
23-Dec-00,595.2683
24-Dec-00,547.0675
25-Dec-00,492.5803
26-Dec-00,613.6562
27-Dec-00,638.2869
28-Dec-00,643.4773
29-Dec-00,628.6981
30-Dec-00,580.8004
31-Dec-00,528.17175
1-Jan-01,473.5016
2-Jan-01,590.30869
3-Jan-01,625.51732
4-Jan-01,631.68292
5-Jan-01,644.66189
6-Jan-01,601.14313
7-Jan-01,550.6438
8-Jan-01,658.95907
9-Jan-01,669.66614
10-Jan-01,670.56031
11-Jan-01,676.07161
12-Jan-01,680.01654
13-Jan-01,610.17193
14-Jan-01,541.26874
15-Jan-01,654.20617
16-Jan-01,675.28859
17-Jan-01,682.46378
18-Jan-01,689.86368
19-Jan-01,689.23447
20-Jan-01,620.67111
21-Jan-01,554.59241
22-Jan-01,659.91556
23-Jan-01,678.62037
24-Jan-01,680.49885
25-Jan-01,663.37136
26-Jan-01,675.20352
27-Jan-01,627.72381
28-Jan-01,563.70588
29-Jan-01,675.9828
30-Jan-01,698.78819
31-Jan-01,695.42202
1-Feb-01,687.31307
