date,date,year,month,Grande_mean,Paraiba_do_sul_mean,Parana_mean,Paranaiba_mean,Paranapanema_mean,SaoFrancisco_mean,Tiete_mean,Tocantins_mean
2005-06-01,2005-06-01,2005,6,21.71125,29.741666666666664,62.935,11.204444444444444,48.342,54.50999999999999,39.290000000000006,34.151999999999994
2005-07-01,2005-07-01,2005,7,30.46375,40.38166666666667,42.74,2.8333333333333335,49.742000000000004,28.355,21.79,25.586000000000002
2005-08-01,2005-08-01,2005,8,6.918749999999999,10.084999999999999,12.215,12.682222222222222,29.386000000000003,28.625,11.274999999999999,14.924000000000001
2005-09-01,2005-09-01,2005,9,80.87374999999999,86.96166666666666,105.655,44.88777777777777,193.51399999999998,26.2075,72.995,46.74600000000001
2005-10-01,2005-10-01,2005,10,98.47,115.07000000000001,199.905,70.23666666666666,220.782,19.635,166.405,54.91600000000001
2005-11-01,2005-11-01,2005,11,162.84499999999997,124.26499999999999,128.935,189.27333333333337,77.636,120.125,108.14500000000001,156.22199999999998
2005-12-01,2005-12-01,2005,12,234.87499999999997,185.72666666666666,230.24,270.30555555555554,100.72,149.875,232.35500000000002,266.12399999999997
2006-01-01,2006-01-01,2006,1,213.41625000000002,170.7733333333333,206.745,119.86444444444444,177.56799999999998,47.7475,247.16,156.83800000000002
2006-02-01,2006-02-01,2006,2,255.56,253.58666666666667,287.11,163.45666666666668,181.372,85.175,271.5,205.86599999999999
2006-03-01,2006-03-01,2006,3,194.06625000000003,189.08166666666668,153.89999999999998,233.25,134.252,157.08749999999998,177.82,267.108
2006-04-01,2006-04-01,2006,4,60.38875,59.56666666666666,69.155,122.69,53.574,81.5975,48.215,257.06399999999996
2006-05-01,2006-05-01,2006,5,23.126250000000006,35.82333333333333,41.12,31.39666666666666,14.920000000000002,47.252500000000005,40.19,116.27400000000003
2006-06-01,2006-06-01,2006,6,10.1825,11.453333333333333,19.9,2.5022222222222226,27.118000000000002,49.722500000000004,10.584999999999999,15.046000000000001
2006-07-01,2006-07-01,2006,7,5.236250000000001,54.865,15.345,2.0133333333333336,44.88,35.2,15.095,15.469999999999999
2006-08-01,2006-08-01,2006,8,17.49875,25.24,30.945,11.355555555555556,22.54,17.8,17.915,16.268
2006-09-01,2006-09-01,2006,9,56.55874999999999,69.91999999999999,89.08,41.78666666666666,131.842,43.955,59.025000000000006,63.28000000000001
2006-10-01,2006-10-01,2006,10,147.9375,125.30666666666666,127.06,209.60111111111112,91.536,77.2,141.43,160.41
2006-11-01,2006-11-01,2006,11,173.76749999999998,191.2266666666667,133.31,159.64333333333332,82.08599999999998,98.7875,107.255,170.406
2006-12-01,2006-12-01,2006,12,251.7025,188.50333333333333,264.695,237.99555555555557,151.13600000000002,123.22500000000001,268.655,166.348
2007-01-01,2007-01-01,2007,1,426.85999999999996,261.9266666666667,397.89,251.73999999999998,221.294,120.39999999999999,404.665,159.136
2007-02-01,2007-02-01,2007,2,131.31625,103.25166666666667,151.7,201.70888888888885,138.56599999999997,177.95749999999998,117.63499999999999,318.916
2007-03-01,2007-03-01,2007,3,106.52125,105.21,119.4,77.67111111111109,105.006,63.5,93.41,178.872
2007-04-01,2007-04-01,2007,4,54.7,90.78833333333334,62.385000000000005,83.09444444444445,66.214,49.877500000000005,36.18,164.16799999999998
2007-05-01,2007-05-01,2007,5,49.9375,46.23499999999999,76.715,16.131111111111114,60.936,51.5275,69.845,53.4
2007-06-01,2007-06-01,2007,6,3.9000000000000004,22.13,2.52,13.927777777777779,9.48,25.0975,7.47,29.631999999999998
2007-07-01,2007-07-01,2007,7,49.34000000000001,105.51833333333333,62.265,9.668888888888889,140.94199999999998,29.55,77.79,26.32
2007-08-01,2007-08-01,2007,8,0.515,5.7683333333333335,4.295,14.869999999999997,6.8340000000000005,29.652500000000003,0.925,16.788000000000004
2007-09-01,2007-09-01,2007,9,7.54375,27.416666666666668,11.125,8.516666666666666,17.108,14.905,12.29,15.536000000000001
2007-10-01,2007-10-01,2007,10,59.95249999999999,108.61166666666668,57.120000000000005,50.822222222222216,58.95,17.195,48.400000000000006,62.574
2007-11-01,2007-11-01,2007,11,134.2525,168.76666666666668,124.85499999999999,118.13555555555553,153.37,60.5375,118.34,107.744
2007-12-01,2007-12-01,2007,12,157.98874999999998,139.63833333333335,143.22,171.9966666666667,164.794,91.135,116.035,168.388
2008-01-01,2008-01-01,2008,1,294.3175,217.9466666666667,242.425,207.94111111111113,174.17,112.84749999999998,218.575,250.57
2008-02-01,2008-02-01,2008,2,201.95499999999998,215.95833333333334,154.815,199.24444444444447,122.676,113.69,128.575,225.49200000000002
2008-03-01,2008-03-01,2008,3,192.15124999999998,182.53666666666666,125.715,207.5588888888889,97.32000000000001,179.14749999999998,158.93,289.688
2008-04-01,2008-04-01,2008,4,124.27125000000001,117.15833333333332,96.81,144.17444444444448,97.308,96.355,143.295,180.686
2008-05-01,2008-05-01,2008,5,27.12,23.528333333333332,47.415,24.054444444444446,57.072,59.8425,37.82,93.384
2008-06-01,2008-06-01,2008,6,11.5275,40.335,19.580000000000002,2.8500000000000005,49.038,25.714999999999996,17.23,39.32800000000001
2008-07-01,2008-07-01,2008,7,1.0625,4.058333333333333,8.08,1.067777777777778,17.552,34.085,0.21,9.724
2008-08-01,2008-08-01,2008,8,20.8525,61.086666666666666,55.165,3.6666666666666674,112.53599999999999,18.6625,35.49,10.528
2008-09-01,2008-09-01,2008,9,42.42375,44.61666666666667,24.134999999999998,23.68,48.976,25.68,22.505000000000003,36.126
2008-10-01,2008-10-01,2008,10,91.8,93.435,108.52,60.263333333333335,110.38,12.505,85.695,53.862
2008-11-01,2008-11-01,2008,11,130.325,176.14333333333332,108.625,102.23888888888888,90.29400000000001,84.24000000000001,77.39,164.66400000000004
2008-12-01,2008-12-01,2008,12,219.34499999999997,173.26,115.71000000000001,193.84222222222218,66.474,161.47000000000003,90.525,195.796
2009-01-01,2009-01-01,2009,1,283.36375000000004,265.085,275.655,229.5088888888889,303.39,144.54749999999999,349.205,236.36599999999999
2009-02-01,2009-02-01,2009,2,243.20499999999998,234.04166666666666,199.2,191.38777777777779,186.23000000000002,112.66250000000001,210.195,254.50599999999994
2009-03-01,2009-03-01,2009,3,161.89375,143.53166666666667,161.015,190.4,70.196,107.065,181.685,263.206
2009-04-01,2009-04-01,2009,4,70.42875,77.00166666666667,25.979999999999997,136.21555555555557,34.164,136.9425,44.625,267.87
2009-05-01,2009-05-01,2009,5,47.40625,42.715,84.045,65.57,84.736,127.32000000000001,41.269999999999996,179.322
2009-06-01,2009-06-01,2009,6,37.122499999999995,42.873333333333335,49.915,34.096666666666664,77.49600000000001,54.599999999999994,52.575,61.489999999999995
2009-07-01,2009-07-01,2009,7,24.0375,85.50833333333334,74.17,11.020000000000001,238.344,26.934999999999995,79.88499999999999,26.208
2009-08-01,2009-08-01,2009,8,49.152499999999996,51.49,84.045,44.294444444444444,87.54799999999999,55.535000000000004,103.575,28.46
2009-09-01,2009-09-01,2009,9,136.38125,110.75333333333333,155.665,94.00777777777779,210.16000000000003,31.724999999999998,169.51999999999998,52.908
2009-10-01,2009-10-01,2009,10,153.27749999999997,168.69833333333335,155.29,163.89555555555555,246.648,111.02749999999999,132.095,151.668
2009-11-01,2009-11-01,2009,11,150.68125,173.39333333333332,165.84,163.07333333333332,207.94400000000002,43.7,168.555,117.83800000000001
2009-12-01,2009-12-01,2009,12,311.99,303.37999999999994,249.445,240.16222222222223,200.662,147.6675,227.29500000000002,261.25
2010-01-01,2010-01-01,2010,1,220.03875000000002,276.3383333333333,242.755,169.93555555555557,286.562,89.1425,260.96,253.36800000000002
2010-02-01,2010-02-01,2010,2,107.92625,125.44166666666666,158.48000000000002,92.81888888888889,141.57,58.4025,126.535,159.76799999999997
2010-03-01,2010-03-01,2010,3,161.2825,186.615,132.425,158.2277777777778,152.632,129.3725,129.765,200.658
2010-04-01,2010-04-01,2010,4,45.286249999999995,86.64999999999999,56.715,71.13333333333334,98.746,103.73249999999999,57.91,174.012
2010-05-01,2010-05-01,2010,5,19.55,32.17,48.995,12.927777777777779,50.314,34.97,16.28,57.736000000000004
2010-06-01,2010-06-01,2010,6,10.23375,15.641666666666666,12.24,8.268888888888888,29.137999999999998,67.5275,11.625,20.752
2010-07-01,2010-07-01,2010,7,12.463750000000003,64.05833333333332,25.08,3.235555555555555,60.688,41.334999999999994,27.029999999999998,13.368
2010-08-01,2010-08-01,2010,8,0.6775,5.056666666666666,5.1000000000000005,0.22666666666666663,26.976,16.265,7.245,11.668000000000003
2010-09-01,2010-09-01,2010,9,64.125,67.5,122.285,18.215555555555557,98.97,31.962500000000006,107.525,10.389999999999999
2010-10-01,2010-10-01,2010,10,105.10999999999999,76.72666666666667,103.78,120.76444444444444,155.598,75.6325,80.50999999999999,128.55599999999998
2010-11-01,2010-11-01,2010,11,175.19374999999997,153.96666666666667,113.525,190.69333333333333,70.312,112.68499999999999,79.545,178.194
2010-12-01,2010-12-01,2010,12,240.70874999999998,274.09000000000003,163.88,230.36222222222224,246.368,145.3825,162.49,196.014
2011-01-01,2011-01-01,2011,1,307.33875,275.445,259.61,225.05777777777774,201.772,120.84500000000001,334.48,245.344
2011-02-01,2011-02-01,2011,2,140.24249999999998,127.68333333333332,234.125,167.5111111111111,197.004,76.6,135.045,219.16
2011-03-01,2011-03-01,2011,3,299.98375,224.94333333333336,279.865,355.44666666666666,97.59,181.1425,237.655,263.814
2011-04-01,2011-04-01,2011,4,80.30624999999999,106.66333333333334,103.875,95.51444444444445,85.97399999999999,80.76750000000001,108.335,188.526
2011-05-01,2011-05-01,2011,5,11.0975,24.900000000000002,14.135,15.481111111111112,11.870000000000001,68.8975,8.615,105.434
2011-06-01,2011-06-01,2011,6,27.762500000000003,33.901666666666664,48.14,18.072222222222226,73.83,21.57,50.974999999999994,26.538
2011-07-01,2011-07-01,2011,7,0.46875,2.3183333333333334,31.18,1.6599999999999997,52.64200000000001,35.0125,4.725,18.196
2011-08-01,2011-08-01,2011,8,12.7175,15.543333333333335,46.135,2.1855555555555557,81.79,17.875,14.645,16.15
2011-09-01,2011-09-01,2011,9,7.6899999999999995,14.486666666666666,23.945,5.29111111111111,13.428,21.762499999999996,29.525000000000002,11.896
2011-10-01,2011-10-01,2011,10,143.08875,115.80499999999999,139.55,178.8755555555556,235.09399999999997,74.8825,131.73,152.51
2011-11-01,2011-11-01,2011,11,132.8275,154.15,122.5,130.7711111111111,100.63400000000001,98.955,107.235,191.198
2011-12-01,2011-12-01,2011,12,199.0125,167.82166666666663,103.35,231.70777777777778,68.322,145.7975,138.08,173.048
2012-01-01,2012-01-01,2012,1,314.0925,300.87,242.67,278.0422222222222,202.31400000000002,109.21249999999999,215.375,295.28200000000004
2012-02-01,2012-02-01,2012,2,83.42875,100.09333333333332,84.205,155.36333333333334,114.50399999999999,63.7025,81.025,228.95999999999998
2012-03-01,2012-03-01,2012,3,115.5825,133.215,84.91499999999999,140.00333333333333,72.55,62.005,58.98,226.266
2012-04-01,2012-04-01,2012,4,66.19875,80.545,106.24,75.91333333333333,120.076,21.652500000000003,71.175,116.026
2012-05-01,2012-05-01,2012,5,58.74375,69.47666666666667,73.35,39.86222222222222,61.720000000000006,30.085,68.435,64.856
2012-06-01,2012-06-01,2012,6,97.16499999999999,99.81666666666666,168.745,40.50555555555556,276.0,28.960000000000004,142.425,40.108
2012-07-01,2012-07-01,2012,7,20.9875,42.651666666666664,18.419999999999998,4.672222222222222,57.879999999999995,28.415,16.675,28.862000000000002
2012-08-01,2012-08-01,2012,8,1.4837500000000001,10.986666666666665,2.395,0.2444444444444444,5.434,25.6575,0.265,5.518
2012-09-01,2012-09-01,2012,9,50.815,23.501666666666665,74.405,44.62777777777777,72.372,11.235000000000003,104.025,21.968
2012-10-01,2012-10-01,2012,10,58.11750000000001,78.14166666666667,74.55,65.23444444444443,87.39,18.1925,57.160000000000004,64.172
2012-11-01,2012-11-01,2012,11,162.36124999999998,131.8683333333333,118.555,224.03111111111113,86.174,132.3625,117.58,186.53199999999998
