,count,year_month,month,year,energy_generated,effluent_flow,influent_flow,max_temp,min_temp,total_rain,accumulate
32,33,200909,9.0,2009.0,2.167746666666667,509.3,463.50566666666674,25.0,1.9,391.8,189.19
33,34,200910,10.0,2009.0,2.1390624122580646,523.1290322580645,376.17548387096775,23.0,9.6,322.20000000000005,150.18
34,35,200911,11.0,2009.0,1.5618249999999998,417.8333333333333,493.52366666666666,24.3,9.8,465.99999999999994,166.13
35,36,200912,12.0,2009.0,2.1838174193548388,1288.774193548387,1220.1767741935485,24.0,12.5,894.8,197.72
36,37,201001,1.0,2010.0,2.533154838709677,1415.1290322580646,1543.2393548387097,23.5,13.8,736.5999999999999,285.78
37,38,201002,2.0,2010.0,2.7725435714285713,958.5357142857143,1067.694642857143,23.9,12.7,337.59999999999997,153.33
38,39,201003,3.0,2010.0,2.5704848387096773,623.4516129032259,714.3606451612904,23.9,8.9,404.59999999999997,135.57
39,40,201004,4.0,2010.0,2.174781666666667,590.6666666666666,605.8133333333334,23.9,6.6,363.19999999999993,46.16
40,41,201005,5.0,2010.0,1.838934516129032,378.35483870967744,364.81741935483865,21.2,-4.3,94.00000000000006,10.7
41,42,201006,6.0,2010.0,1.833413,384.6666666666667,289.57099999999997,19.5,1.0,83.40000000000005,8.45
42,43,201007,7.0,2010.0,1.8940193548387092,414.8709677419355,321.3296774193548,18.9,2.9,201.6,17.08
43,44,201008,8.0,2010.0,1.3050864516129028,302.0967741935484,203.79999999999995,15.7,-3.8,0.0,11.3
44,45,201009,9.0,2010.0,1.0417239999999999,253.16666666666666,214.25033333333334,20.9,-4.5,361.40000000000003,133.97
45,46,201010,10.0,2010.0,1.140661500645161,283.35483870967744,234.91483870967738,22.8,-3.9,341.00000000000006,81.11
46,47,201011,11.0,2010.0,0.8695733333333333,230.13333333333333,226.41266666666667,22.3,0.3,321.79999999999995,96.83
47,48,201012,12.0,2010.0,1.5092380645161287,389.9032258064516,557.7383870967742,26.1,6.2,995.2,145.41
48,49,201101,1.0,2011.0,2.7090319354838717,1377.9032258064517,1461.9574193548387,25.4,12.7,1717.1999999999998,346.13
49,50,201102,2.0,2011.0,2.532763928571429,593.0,662.7839285714286,24.8,9.2,865.8000000000001,106.17
50,51,201103,3.0,2011.0,2.794548387096774,856.9032258064516,877.6990322580646,24.6,14.1,963.2000000000002,296.87
51,52,201104,4.0,2011.0,2.268087333333334,484.26666666666665,525.6790000000001,22.7,7.9,406.6000000000001,129.98
52,53,201105,5.0,2011.0,1.3315380645161292,265.51612903225805,314.5387096774194,20.2,2.5,62.80000000000001,4.63
53,54,201106,6.0,2011.0,1.6797103333333332,347.3666666666667,307.20466666666664,19.5,-7.1,167.6,63.48
54,55,201107,7.0,2011.0,1.437931290322581,311.83870967741933,221.3335483870968,18.8,-2.2,16.399999999999995,5.61
55,56,201108,8.0,2011.0,1.1195206451612898,245.48387096774192,202.98064516129034,20.0,-6.0,122.0,13.27
56,57,201109,9.0,2011.0,1.6562533333333336,373.56666666666666,181.38899999999998,19.3,-5.8,27.799999999999997,47.17
57,58,201110,10.0,2011.0,1.4088263954838711,333.4193548387097,383.0570967741935,23.4,0.9,738.2000000000003,120.33
58,59,201111,11.0,2011.0,2.061510333333333,512.4333333333333,389.1573333333333,23.1,5.1,536.4000000000001,111.08
59,60,201112,12.0,2011.0,1.9002903225806451,494.19354838709677,445.0529032258063,24.5,-0.4,699.6,160.37
60,61,201201,1.0,2012.0,2.1692006451612906,633.7741935483871,884.7590322580645,23.8,3.1,831.6000000000001,183.93
61,62,201202,2.0,2012.0,1.6877479310344827,432.2413793103448,568.8355172413793,24.3,5.8,176.2,57.9
62,63,201203,3.0,2012.0,1.419955161290323,328.1290322580645,362.42129032258066,24.8,10.4,197.20000000000002,59.41
63,64,201204,4.0,2012.0,1.4004163333333335,298.53333333333336,346.4306666666667,23.9,7.8,445.8,63.01
64,65,201205,5.0,2012.0,1.9160625806451608,411.64516129032256,404.79,20.6,4.9,245.20000000000002,71.15
65,66,201206,6.0,2012.0,2.6204823333333334,742.6666666666666,726.2360000000001,23.0,5.6,547.5999999999999,127.72
66,67,201207,7.0,2012.0,2.5263732258064517,563.516129032258,391.1441935483872,20.0,-5.1,77.6,4.68
67,68,201208,8.0,2012.0,1.4581061290322577,340.2903225806452,236.701935483871,16.2,-0.6,3.2,0.0
68,69,201209,9.0,2012.0,0.8400710000000002,203.53333333333333,202.5376666666666,21.6,-4.6,292.7999999999999,142.93
69,70,201210,10.0,2012.0,1.2220886958064514,294.5806451612903,236.84129032258068,24.5,4.7,284.79999999999995,37.95
70,71,201211,11.0,2012.0,1.1898909999999998,301.3666666666667,239.37966666666668,25.3,2.6,450.6,130.56
71,72,201212,12.0,2012.0,1.2902974193548387,363.8709677419355,496.13290322580644,24.9,12.6,816.2,243.22
72,73,201301,1.0,2013.0,2.1606670967741937,680.9677419354839,831.536129032258,26.4,10.1,1120.1999999999998,149.94
73,74,201302,2.0,2013.0,2.466659642857143,578.9446428571429,600.2246428571428,25.5,13.3,800.2,218.4
74,75,201303,3.0,2013.0,2.109245161290323,508.12451612903226,587.2054838709677,26.4,10.8,690.1999999999998,155.52
75,76,201304,4.0,2013.0,2.113345,450.6666666666667,511.9396666666667,24.5,4.6,360.0,107.43
76,77,201305,5.0,2013.0,1.496541612903226,313.741935483871,298.7490322580646,20.2,-5.0,431.4,31.99
77,78,201306,6.0,2013.0,1.8906206666666667,452.76666666666665,443.28766666666667,22.7,8.3,262.59999999999997,88.96
78,79,201307,7.0,2013.0,2.0364770967741936,466.80645161290323,402.71612903225804,21.4,-1.8,79.80000000000001,17.79
79,80,201308,8.0,2013.0,1.4544764516129034,354.1509677419355,200.79838709677426,16.4,-1.2,25.2,0.61
80,81,201309,9.0,2013.0,0.6562749999999998,167.40266666666668,202.28633333333335,24.8,0.5,215.00000000000003,62.21
81,82,201310,10.0,2013.0,1.3925736325806457,324.0967741935484,315.85419354838706,22.6,2.0,568.8,106.46
82,83,201311,11.0,2013.0,1.1151783333333334,254.0366666666667,282.9409999999999,24.4,6.5,508.40000000000003,103.78
83,84,201312,12.0,2013.0,1.209731612903226,274.65741935483874,263.21,24.6,7.0,490.4000000000001,185.86
84,85,201401,1.0,2014.0,1.206184193548387,301.2258064516129,293.97516129032255,24.3,1.8,460.0,142.65
85,86,201402,2.0,2014.0,0.532294074074074,162.14814814814815,160.9651851851852,22.9,6.8,307.59999999999974,62.34
86,87,201403,3.0,2014.0,0.8372035483870969,225.80645161290323,284.4383870967742,23.6,10.8,407.80000000000007,325.0
87,88,201404,4.0,2014.0,0.6787493333333333,190.3,200.227,23.2,5.7,210.79999999999998,26.29
88,89,201405,5.0,2014.0,0.7376675632258063,166.3548387096774,155.6841935483871,21.1,6.3,185.39999999999978,42.36
89,90,201406,6.0,2014.0,0.7350746103333333,162.2,140.35233333333335,19.5,0.2,7.6000000000000005,4.59
90,91,201407,7.0,2014.0,0.8067727096774192,180.32258064516128,127.48548387096778,18.4,0.3,79.80000000000001,70.92
91,92,201408,8.0,2014.0,0.7935962258064516,178.83870967741936,112.75032258064515,18.0,-3.7,46.0,1.04
92,93,201409,9.0,2014.0,0.8534825333333333,200.6,151.62266666666665,26.2,-5.0,276.6,92.68
93,94,201410,10.0,2014.0,0.9106319522580645,230.19354838709677,96.54322580645159,21.1,-8.1,107.19999999999997,77.2
94,95,201411,11.0,2014.0,0.8036077,230.6,185.7773333333334,24.1,4.8,580.0,201.47
95,96,201412,12.0,2014.0,0.6842097096774195,204.70967741935485,306.51,24.0,7.8,865.1999999999999,133.16
96,97,201501,1.0,2015.0,0.9838883870967741,288.0967741935484,254.14322580645162,25.5,9.2,667.6000000000001,89.7
97,98,201502,2.0,2015.0,1.0341870357142857,281.07142857142856,591.922142857143,24.5,12.5,846.8000000000001,219.18
98,99,201503,3.0,2015.0,2.0486766774193548,490.51612903225805,554.9512903225806,24.1,14.1,764.0,164.33
99,100,201504,4.0,2015.0,0.9715088000000001,223.53333333333333,240.57433333333339,24.1,9.6,98.4,67.32
100,101,201505,5.0,2015.0,0.6198452580645162,127.61290322580645,201.981935483871,22.2,4.1,401.5999999999999,98.61
101,102,201506,6.0,2015.0,0.8071970333333334,164.46666666666667,170.4116666666667,20.1,5.2,17.599999999999998,30.97
102,103,201507,7.0,2015.0,1.1524917419354839,239.7741935483871,214.57903225806447,20.4,3.0,282.40000000000003,55.54
103,104,201508,8.0,2015.0,0.9352657741935485,217.41935483870967,126.4125806451613,18.5,-2.4,57.39999999999999,11.66
104,105,201509,9.0,2015.0,1.3433216999999997,321.7,339.6786666666667,23.1,0.6,686.1999999999999,121.12
105,106,201510,10.0,2015.0,1.6014145596774199,416.3225806451613,212.30935483870965,23.7,2.5,342.6,98.56
106,107,201511,11.0,2015.0,1.3905625000000001,383.1,507.93,25.4,13.2,960.2,314.72
107,108,201512,12.0,2015.0,1.9920829677419356,621.1935483870968,575.9083870967742,24.4,11.9,670.5999999999999,256.19
108,109,201601,1.0,2016.0,2.56054893548387,1277.0032258064516,1154.613870967742,26.3,10.4,1470.4000000000003,242.64
109,110,201602,2.0,2016.0,1.6163119310344831,529.3103448275862,738.8558620689655,25.0,10.9,725.8,148.64
110,111,201603,3.0,2016.0,2.255406580645161,831.713870967742,903.0403225806451,26.7,9.9,249.0,97.34
111,112,201604,4.0,2016.0,1.4594506333333335,339.967,271.741,23.7,4.8,90.4,76.43
112,113,201605,5.0,2016.0,1.0960392903225809,263.7032258064516,338.57612903225805,21.6,-5.4,520.4,116.74
113,114,201606,6.0,2016.0,2.2076524666666666,780.7919999999999,859.1106666666667,22.2,-4.3,441.39999999999986,95.73
114,115,201607,7.0,2016.0,1.680586096774193,348.55290322580646,276.088064516129,18.3,-6.4,22.199999999999996,6.73
115,116,201608,8.0,2016.0,1.581819,346.66838709677415,258.9406451612904,20.7,-2.5,235.40000000000003,46.32
116,117,201609,9.0,2016.0,1.558849766666666,350.26666666666665,207.5469999999999,19.3,-3.4,94.79999999999997,104.81
117,118,201610,10.0,2016.0,1.3097387151612898,317.8854838709678,301.3903225806451,22.5,2.0,535.6,78.62
118,119,201611,11.0,2016.0,1.707059566666666,415.2,326.034,23.9,5.1,516.2,109.62
119,120,201612,12.0,2016.0,1.5405951612903233,396.3645161290322,371.99548387096775,26.0,10.5,760.1999999999998,174.54
120,121,201701,1.0,2017.0,1.678059,584.7096774193549,834.2093548387097,24.7,8.5,1272.1999999999996,268.64
121,122,201702,2.0,2017.0,1.7958798214285714,465.89285714285717,589.1078571428573,23.6,8.6,296.99999999999994,91.47
122,123,201703,3.0,2017.0,1.8984070645161293,485.61290322580646,500.1667741935484,23.6,8.9,370.00000000000006,120.44
123,124,201704,4.0,2017.0,1.5688945666666667,319.5,360.584,24.4,8.2,394.40000000000003,65.01
124,125,201705,5.0,2017.0,2.065300451612903,620.6129032258065,612.5958064516128,22.3,5.6,371.19999999999993,58.99
125,126,201706,6.0,2017.0,1.691740866666667,474.96666666666664,491.5713333333333,20.7,-1.1,29.799999999999997,19.28
126,127,201707,7.0,2017.0,1.6793051290322583,347.741935483871,233.70709677419356,18.7,2.0,0.4,0.0
127,128,201708,8.0,2017.0,1.5921087096774194,354.64516129032256,249.53,19.3,-3.9,115.60000000000001,82.09
128,129,201709,9.0,2017.0,1.5717313333333334,379.96666666666664,146.236,18.7,-3.8,75.0,0.48
129,130,201710,10.0,2017.0,0.9178473632258066,242.93548387096774,239.42225806451611,21.9,-1.3,347.59999999999997,133.53
130,131,201711,11.0,2017.0,1.3968593666666669,366.9,385.15666666666675,23.7,0.2,649.0,174.61
131,132,201712,12.0,2017.0,1.009314387096774,271.03225806451616,307.0803225806452,24.3,7.2,442.60000000000014,251.19
132,133,201801,1.0,2018.0,1.8731856129032256,459.38709677419354,636.7664516129031,24.2,12.1,721.8,203.99
133,134,201802,2.0,2018.0,1.4866206785714289,326.2142857142857,366.08250000000004,25.9,7.7,286.0,83.22
134,135,201803,3.0,2018.0,1.2639216451612905,268.19354838709677,430.2154838709678,24.9,12.1,575.0000000000001,47.45
135,136,201804,4.0,2018.0,1.4901351000000003,328.8,262.93199999999996,23.2,1.0,59.00000000000001,31.55
136,137,201805,5.0,2018.0,0.8897862903225806,189.1290322580645,147.85838709677415,19.2,2.4,65.4,7.38
137,138,201806,6.0,2018.0,0.8298155000000002,174.93333333333334,147.42600000000002,22.1,2.8,19.799999999999994,1.89
138,139,201807,7.0,2018.0,0.7287289032258064,159.38709677419354,119.66967741935487,18.6,-5.7,7.000000000000001,0.14
139,140,201808,8.0,2018.0,1.0170151290322582,218.16129032258064,180.31419354838712,20.4,-0.4,146.2,30.2
140,141,201809,9.0,2018.0,1.0217909,227.76666666666668,166.123,23.1,-0.6,259.6,117.67
141,142,201810,10.0,2018.0,1.672764387096774,428.0967741935484,293.63193548387096,24.3,8.5,499.4000000000001,115.96
142,143,201811,11.0,2018.0,1.1043856346666667,279.1,322.1053333333333,24.2,9.0,438.20000000000005,190.47
143,144,201812,12.0,2018.0,1.8289075806451616,466.51612903225805,403.67967741935485,29.5,7.6,405.2,99.53
144,145,201901,1.0,2019.0,1.4992423548387097,405.0,416.45096774193553,25.1,8.3,415.59999999999997,143.07
145,146,201902,2.0,2019.0,1.6334149642857143,442.67857142857144,559.6432142857143,23.7,10.3,430.0,204.89
146,147,201903,3.0,2019.0,2.187615677419355,508.2903225806452,734.4925806451613,24.3,10.3,230.79999999999995,110.61
147,148,201904,4.0,2019.0,2.2657588,482.3,477.8046666666665,24.7,6.9,322.59999999999997,94.6
148,149,201905,5.0,2019.0,1.0631278064516128,222.19354838709677,282.92,23.4,2.6,103.2,48.19
149,150,201906,6.0,2019.0,1.2446646333333333,266.8,252.9270666666666,19.6,4.6,28.999999999999996,10.23
150,151,201907,7.0,2019.0,1.6137380967741932,347.9032258064516,322.4475806451613,20.7,-5.0,101.40000000000003,38.88
151,152,201908,8.0,2019.0,1.3795333548387094,324.7096774193548,158.12903225806448,20.1,2.5,47.4,32.64
152,153,201909,9.0,2019.0,1.2694835,308.5,181.309,21.8,-2.0,161.00000000000003,48.21
153,154,201910,10.0,2019.0,0.8707257419354841,227.93548387096774,130.7690322580645,21.1,0.3,150.79999999999998,61.19
154,155,201911,11.0,2019.0,0.7708747666666668,215.23333333333332,248.5013333333333,23.6,6.1,303.0,68.69
155,156,201912,12.0,2019.0,1.3290708064516128,358.2258064516129,359.9883870967741,24.1,10.1,432.00000000000006,293.56
