Date,Energy
11/21/17,1502
11/22/17,2021
11/23/17,1733
11/24/17,1818
11/25/17,1762
11/26/17,1653
11/27/17,1698
11/28/17,1595
11/29/17,1526
11/30/17,1439
12/1/17,1318
12/2/17,1189
12/3/17,1117
12/4/17,1033
12/5/17,944
12/6/17,866
12/7/17,813
12/8/17,846
12/9/17,793
12/10/17,830
12/11/17,857
12/12/17,850
12/13/17,816
12/14/17,773
12/15/17,708
12/16/17,651
12/17/17,606
12/18/17,679
12/19/17,635
12/20/17,745
12/21/17,887
12/22/17,852
12/23/17,953
12/24/17,992
12/25/17,1089
12/26/17,1176
12/27/17,1205
12/28/17,1270
12/29/17,1337
12/30/17,1497
12/31/17,1738
1/1/18,1812.229004
1/2/18,1968.237061
1/3/18,2080.923096
1/4/18,2099.666992
1/5/18,2092.477051
1/6/18,2062.940918
1/7/18,2048.594971
1/8/18,1990.345947
1/9/18,1977.597046
1/10/18,2096.292969
1/11/18,1945.224976
1/12/18,1871.305054
1/13/18,1844.525024
1/14/18,1838.115967
1/15/18,1797.061035
1/16/18,1739.962036
1/17/18,1728.52002
1/18/18,1666.390991
1/19/18,1640.48999
1/20/18,1602.541016
1/21/18,1585.67395
1/22/18,1625.006958
1/23/18,1682.322998
1/24/18,1716.578979
1/25/18,1751.957031
1/26/18,1787.692017
1/27/18,1768.769043
1/28/18,1708.115967
1/29/18,2137.844971
1/30/18,1941.109985
1/31/18,1725.255981
2/1/18,1698.004028
2/2/18,1633.281982
2/3/18,1543.03894
2/4/18,1473.343994
2/5/18,1389.116943
2/6/18,1259.968994
2/7/18,1120.642944
2/8/18,1015.674988
2/9/18,960.5310059
2/10/18,959.6550293
2/11/18,971.8330078
2/12/18,1006.463013
2/13/18,1065.44104
2/14/18,1111.996948
2/15/18,1141.353027
2/16/18,1160.249023
2/17/18,1164.217041
2/18/18,1143.384033
2/19/18,1126.082031
2/20/18,1139.651978
2/21/18,1129.05603
2/22/18,1130.061035
2/23/18,1111.452026
2/24/18,1092.448975
2/25/18,1070.133057
2/26/18,1152.037964
2/27/18,1135.130005
2/28/18,1101.864014
3/1/18,1165.890991
3/2/18,1200.267944
3/3/18,1232.595947
3/4/18,1288.03894
3/5/18,1370.786987
3/6/18,1371.920044
3/7/18,1391.151001
3/8/18,1351.730957
3/9/18,1364.699951
3/10/18,1326.17395
3/11/18,1286.738037
3/12/18,1253.487061
3/13/18,1277.891968
3/14/18,1216.447998
3/15/18,1300.666992
3/16/18,1187.036011
3/17/18,1236.02002
3/18/18,1227.027954
3/19/18,1251.505005
3/20/18,1380.916016
3/21/18,1408.928955
3/22/18,1380.965942
3/23/18,1375.140015
3/24/18,1359.61499
3/25/18,1334.968018
3/26/18,1342
3/27/18,1361.983032
3/28/18,1378.659058
3/29/18,1342.837036
3/30/18,1450.243042
3/31/18,1434.352051
4/1/18,1458.704956
4/2/18,1443.551025
4/3/18,1479.687988
4/4/18,1468.829956
4/5/18,1392.078003
4/6/18,1324.383057
4/7/18,1217.107056
4/8/18,1113.553955
4/9/18,1026.345947
4/10/18,949.1420288
4/11/18,874.9069824
4/12/18,822.1719971
4/13/18,778.0239868
4/14/18,747.5250244
4/15/18,2280.330078
4/16/18,1330.145996
4/17/18,1213.071045
4/18/18,1031.968994
4/19/18,900.2299805
4/20/18,784.1790161
4/21/18,784.59198
4/22/18,753.6290283
4/23/18,719.6010132
4/24/18,680.9500122
4/25/18,653.8629761
4/26/18,641.5089722
4/27/18,633.8380127
4/28/18,625.2379761
4/29/18,614.8829956
4/30/18,607.8790283
5/1/18,599.7080078
5/2/18,591.7789917
5/3/18,585.7080078
5/4/18,577.3850098
5/5/18,578.059021
5/6/18,572.8660278
5/7/18,562.3909912
5/8/18,564.2230225
5/9/18,571.1829834
5/10/18,560.2839966
5/11/18,573.1290283
5/12/18,567.1380005
5/13/18,562.9790039
5/14/18,565.1090088
5/15/18,572.3250122
5/16/18,572.7839966
5/17/18,578.677002
5/18/18,584.5159912
5/19/18,626.9790039
5/20/18,594.4550171
5/21/18,614.2620239
5/22/18,620.8209839
5/23/18,616.5789795
5/24/18,617.1350098
5/25/18,617.1079712
5/26/18,607.7810059
5/27/18,591.7670288
5/28/18,582.059021
5/29/18,578.1530151
5/30/18,570.9019775
5/31/18,567.4190064
6/1/18,574.809021
6/2/18,570.2219849
6/3/18,572.7039795
6/4/18,575.7860107
6/5/18,576.6079712
6/6/18,578.9619751
6/7/18,586.3209839
6/8/18,594.5319824
6/9/18,603.992981
6/10/18,616.0150147
6/11/18,634.5479736
6/12/18,661.2750244
6/13/18,703.3560181
6/14/18,718.7139893
6/15/18,729.835022
6/16/18,741.9219971
6/17/18,733.0579834
6/18/18,713.2210083
6/19/18,695.1569824
6/20/18,670.6209717
6/21/18,640.7910156
6/22/18,619.3809815
6/23/18,603.3850098
6/24/18,596.2119751
6/25/18,586.7680054
6/26/18,582.111023
6/27/18,573.1610107
6/28/18,569.3569946
6/29/18,560.5150147
6/30/18,551.6799927
7/1/18,542.9619751
7/2/18,537.0689697
7/3/18,538.0709839
7/4/18,530.7839966
7/5/18,528.9819946
7/6/18,530.0219727
7/7/18,525.4730225
7/8/18,525.3880005
7/9/18,528.4160156
7/10/18,525.1849976
7/11/18,519.5689697
7/12/18,517.5560303
7/13/18,511.8420105
7/14/18,506.230011
7/15/18,500.2690125
7/16/18,500.276001
7/17/18,503
7/18/18,498.2139893
7/19/18,499.3699951
7/20/18,498.1740112
7/21/18,496.276001
7/22/18,498.7669983
7/23/18,496.7510071
7/24/18,497.8070068
7/25/18,492.2489929
7/26/18,483.2520142
7/27/18,499.4609985
7/28/18,493.6029968
7/29/18,508.1239929
7/30/18,525.0390015
7/31/18,616.7620239
8/1/18,583.3779907
8/2/18,652.5319824
8/3/18,725.315979
8/4/18,760.0750122
8/5/18,827.4069824
8/6/18,905.2230225
8/7/18,916.1400147
8/8/18,922.4970093
8/9/18,910.7860107
8/10/18,871.4359741
8/11/18,824.2440186
8/12/18,770.2089844
8/13/18,717.8549805
8/14/18,687.6049805
8/15/18,655.1240234
8/16/18,643.0640259
8/17/18,633.9169922
8/18/18,623.2000122
8/19/18,605.8410034
8/20/18,589.1640015
8/21/18,579.2949829
8/22/18,564.34198
8/23/18,562.9949951
8/24/18,562.0999756
8/25/18,586.427002
8/26/18,565.8549805
8/27/18,570.6409912
8/28/18,570.3049927
8/29/18,561.052002
8/30/18,550.9210205
8/31/18,547.1729736
9/1/18,535.3140259
9/2/18,522.3389893
9/3/18,511.9639893
9/4/18,536.8579712
9/5/18,524.0009766
9/6/18,528.9379883
9/7/18,541.3499756
9/8/18,536.9990234
9/9/18,529.5949707
9/10/18,535.7459717
9/11/18,538.46698
9/12/18,531.2219849
9/13/18,548.4210205
9/14/18,633.1669922
9/15/18,611.7589722
9/16/18,643.8950195
9/17/18,679.7039795
9/18/18,698.052002
9/19/18,717.0040283
9/20/18,782.164978
9/21/18,790.0020142
9/22/18,793.3930054
9/23/18,787.4459839
9/24/18,762.0679932
9/25/18,744.4190064
9/26/18,724.7299805
9/27/18,726.4550171
9/28/18,714.6160278
9/29/18,698.8389893
9/30/18,998.486023
10/1/18,861.2459717
10/2/18,848.4190064
10/3/18,877.9949951
10/4/18,878.6409912
10/5/18,892.3150024
10/6/18,913.8410034
10/7/18,930.9769898
10/8/18,944.7249756
10/9/18,1015.585022
10/10/18,1048.633057
10/11/18,1198.245972
10/12/18,1275.661987
10/13/18,1312.921021
10/14/18,1317.470947
10/15/18,1329.567017
10/16/18,1263.003052
10/17/18,1286.314941
10/18/18,1271.83606
10/19/18,1270.072998
10/20/18,1279.124023
10/21/18,1226.578979
10/22/18,1170.213013
10/23/18,1106.831055
10/24/18,1087.718994
10/25/18,1022.617981
10/26/18,982.5239868
10/27/18,985.0819702
10/28/18,954.1439819
10/29/18,934.8079834
10/30/18,921.1370239
10/31/18,898.6779785
11/1/18,866.5139771
11/2/18,829.7559815
11/3/18,810.3229981
11/4/18,799.9749756
11/5/18,800.5739746
11/6/18,828.3959961
11/7/18,849.3930054
11/8/18,861.6290283
11/9/18,845.9160156
11/10/18,824.7340088
11/11/18,803.6979981
11/12/18,764.4439697
