"","date","energy_exchange"
"339",2016-12-04,-4.502883
"340",2016-12-05,-1.742629
"341",2016-12-06,-6.232071
"342",2016-12-07,-5.799245
"343",2016-12-08,-34.594939
"344",2016-12-09,-38.973577
"345",2016-12-10,1.493374
"346",2016-12-11,20.317815
"347",2016-12-12,2.272805
"348",2016-12-13,6.989682
"349",2016-12-14,-13.468513
"350",2016-12-15,7.678943
"351",2016-12-16,-6.038034
"352",2016-12-17,6.659231
"353",2016-12-18,24.073455
"354",2016-12-19,7.941188
"355",2016-12-20,4.643877
"356",2016-12-21,2.457568
"357",2016-12-22,17.702636
"358",2016-12-23,-13.547583
"359",2016-12-24,43.212117
"360",2016-12-25,41.524475
"361",2016-12-26,9.53501
"362",2016-12-27,14.714828
"363",2016-12-28,30.721082
"364",2016-12-29,-3.420493
"365",2016-12-30,-1.83551
"366",2016-12-31,48.571363
"367",2017-01-01,72.80116
"368",2017-01-02,-5.255073
"369",2017-01-03,-2.874029
"370",2017-01-04,-15.231916
"371",2017-01-05,-22.369401
"372",2017-01-06,-34.559208
"373",2017-01-07,-42.420102
"374",2017-01-08,-5.278624
"375",2017-01-09,-26.268743
"376",2017-01-10,-61.857442
"377",2017-01-11,-39.241013
"378",2017-01-12,-36.768312
"379",2017-01-13,-40.878213
"380",2017-01-14,-4.067142
"381",2017-01-15,-12.487724
"382",2017-01-16,-24.855319
"383",2017-01-17,-18.491487
"384",2017-01-18,-33.331449
"385",2017-01-19,-27.450679
"386",2017-01-20,-18.780933
"387",2017-01-21,11.451286
"388",2017-01-22,22.523531
"389",2017-01-23,23.160515
"390",2017-01-24,20.204379
"391",2017-01-25,-5.573096
"392",2017-01-26,-26.277704
"393",2017-01-27,-2.382163
"394",2017-01-28,25.668111
"395",2017-01-29,51.905861
"396",2017-01-30,26.943514
"397",2017-01-31,19.263724
"398",2017-02-01,18.2741
"399",2017-02-02,7.327086
"400",2017-02-03,11.757634
"401",2017-02-04,22.88647
"402",2017-02-05,58.264288
"403",2017-02-06,14.876528
"404",2017-02-07,27.474445
"405",2017-02-08,4.579002
"406",2017-02-09,22.330551
"407",2017-02-10,37.49996
"408",2017-02-11,41.279661
"409",2017-02-12,28.930451
"410",2017-02-13,27.362209
"411",2017-02-14,16.146587
"412",2017-02-15,30.133209
"413",2017-02-16,43.463705
"414",2017-02-17,31.824213
"415",2017-02-18,39.519196
"416",2017-02-19,51.93934
"417",2017-02-20,35.757766
"418",2017-02-21,36.212103
"419",2017-02-22,41.003524
"420",2017-02-23,35.81939
"421",2017-02-24,43.090368
"422",2017-02-25,55.278633
"423",2017-02-26,66.910512
"424",2017-02-27,61.666832
"425",2017-02-28,56.963548
"426",2017-03-01,37.75234
"427",2017-03-02,59.932749
"428",2017-03-03,67.59743
"429",2017-03-04,63.347959
"430",2017-03-05,79.626264
"431",2017-03-06,43.448319
"432",2017-03-07,64.586078
"433",2017-03-08,56.982023
"434",2017-03-09,55.50727
"435",2017-03-10,50.374358
"436",2017-03-11,58.045259
"437",2017-03-12,43.834554
"438",2017-03-13,21.721731
"439",2017-03-14,33.788697
"440",2017-03-15,46.240295
"441",2017-03-16,29.676381
"442",2017-03-17,29.816186
"443",2017-03-18,91.958544
"444",2017-03-19,97.877915
"445",2017-03-20,70.554851
"446",2017-03-21,64.614775
"447",2017-03-22,64.436718
"448",2017-03-23,69.18125
"449",2017-03-24,71.784968
"450",2017-03-25,87.062509
"451",2017-03-26,86.309475
"452",2017-03-27,82.477107
"453",2017-03-28,83.229525
"454",2017-03-29,93.613535
"455",2017-03-30,83.359855
"456",2017-03-31,89.01672
"457",2017-04-01,99.357148
"458",2017-04-02,87.8348
"459",2017-04-03,86.841222
"460",2017-04-04,94.405801
"461",2017-04-05,88.060316
"462",2017-04-06,79.850656
"463",2017-04-07,55.551819
"464",2017-04-08,80.412961
"465",2017-04-09,84.38714
"466",2017-04-10,46.58328
"467",2017-04-11,36.910575
"468",2017-04-12,45.652514
"469",2017-04-13,48.600262
"470",2017-04-14,86.584223
"471",2017-04-15,98.515586
"472",2017-04-16,104.046534
"473",2017-04-17,68.038157
"474",2017-04-18,80.61092
"475",2017-04-19,85.901748
"476",2017-04-20,83.095905
"477",2017-04-21,102.734871
"478",2017-04-22,105.298601
"479",2017-04-23,104.894456
"480",2017-04-24,95.882464
"481",2017-04-25,78.63957
"482",2017-04-26,57.380009
"483",2017-04-27,53.390447
"484",2017-04-28,73.933654
"485",2017-04-29,105.834073
"486",2017-04-30,95.701384
"487",2017-05-01,101.373742
"488",2017-05-02,68.869181
"489",2017-05-03,92.245984
"490",2017-05-04,102.383196
"491",2017-05-05,110.469733
"492",2017-05-06,127.216086
"493",2017-05-07,98.438444
"494",2017-05-08,101.267503
"495",2017-05-09,106.566555
"496",2017-05-10,103.830393
"497",2017-05-11,111.059954
"498",2017-05-12,95.089887
"499",2017-05-13,116.111753
"500",2017-05-14,65.815987
"501",2017-05-15,89.226991
"502",2017-05-16,97.818419
"503",2017-05-17,98.294365
"504",2017-05-18,85.885296
"505",2017-05-19,73.632484
"506",2017-05-20,20.748017
"507",2017-05-21,51.046373
"508",2017-05-22,43.439249
"509",2017-05-23,44.702135
"510",2017-05-24,64.184407
"511",2017-05-25,36.665981
"512",2017-05-26,29.601228
"513",2017-05-27,8.994155
"514",2017-05-28,21.569832
"515",2017-05-29,18.613056
"516",2017-05-30,12.542315
"517",2017-05-31,-7.27102
"518",2017-06-01,-3.697322
"519",2017-06-02,-16.217799
"520",2017-06-03,-44.350583
"521",2017-06-04,-20.612239
"522",2017-06-05,-37.900687
"523",2017-06-06,-40.946432
"524",2017-06-07,-28.269236
"525",2017-06-08,-20.379584
"526",2017-06-09,-32.831972
"527",2017-06-10,-66.025568
"528",2017-06-11,-12.250303
"529",2017-06-12,-13.535402
"530",2017-06-13,-33.300931
"531",2017-06-14,-25.990533
"532",2017-06-15,-22.706644
"533",2017-06-16,-44.273958
"534",2017-06-17,-55.518336
"535",2017-06-18,-9.26721
"536",2017-06-19,-44.132937
"537",2017-06-20,-43.113087
"538",2017-06-21,-38.886942
"539",2017-06-22,-46.762988
"540",2017-06-23,-66.713211
"541",2017-06-24,-82.857013
"542",2017-06-25,-16.348857
"543",2017-06-26,-53.356704
"544",2017-06-27,-44.584826
"545",2017-06-28,-51.661911
"546",2017-06-29,-41.027515
"547",2017-06-30,-68.091432
"548",2017-07-01,-32.668312
"549",2017-07-02,42.758199
"550",2017-07-03,-33.847501
"551",2017-07-04,-34.445199
"552",2017-07-05,-32.455284
"553",2017-07-06,-33.673023
"554",2017-07-07,-32.924397
"555",2017-07-08,3.68091
"556",2017-07-09,46.649975
"557",2017-07-10,-10.713769
"558",2017-07-11,-16.443042
"559",2017-07-12,-0.03167
"560",2017-07-13,-2.958863
"561",2017-07-14,-9.228395
"562",2017-07-15,9.007877
"563",2017-07-16,45.593374
"564",2017-07-17,-18.224111
"565",2017-07-18,-18.854688
"566",2017-07-19,-8.4043
"567",2017-07-20,-14.268458
"568",2017-07-21,-9.418423
"569",2017-07-22,16.66959
"570",2017-07-23,39.096061
"571",2017-07-24,13.217075
"572",2017-07-25,3.010464
"573",2017-07-26,8.026468
"574",2017-07-27,7.363148
"575",2017-07-28,2.423422
"576",2017-07-29,36.20651
"577",2017-07-30,75.346167
"578",2017-07-31,36.15497
"579",2017-08-01,40.173627
"580",2017-08-02,28.545148
"581",2017-08-03,3.994432
"582",2017-08-04,-4.098386
"583",2017-08-05,9.601304
"584",2017-08-06,60.537334
"585",2017-08-07,40.312197
"586",2017-08-08,20.686828
"587",2017-08-09,9.770171
"588",2017-08-10,-11.417157
"589",2017-08-11,13.510909
"590",2017-08-12,12.906387
"591",2017-08-13,48.941555
"592",2017-08-14,2.073829
"593",2017-08-15,0.924099
"594",2017-08-16,4.756563
"595",2017-08-17,1.222102
"596",2017-08-18,4.056004
"597",2017-08-19,19.896207
"598",2017-08-20,46.586454
"599",2017-08-21,1.612944
"600",2017-08-22,-17.449764
"601",2017-08-23,-8.617034
"602",2017-08-24,-5.52594
"603",2017-08-25,8.487557
"604",2017-08-26,31.511086
"605",2017-08-27,78.028197
"606",2017-08-28,8.363973
"607",2017-08-29,18.882147
"608",2017-08-30,6.327431
"609",2017-08-31,-9.2273
"610",2017-09-01,9.328761
"611",2017-09-02,29.561796
"612",2017-09-03,73.746483
"613",2017-09-04,24.813733
"614",2017-09-05,23.418554
"615",2017-09-06,12.470238
"616",2017-09-07,55.326289
"617",2017-09-08,17.894468
"618",2017-09-09,39.134298
"619",2017-09-10,62.052738
"620",2017-09-11,-4.544146
"621",2017-09-12,-0.689837
"622",2017-09-13,0.460004
"623",2017-09-14,4.931073
"624",2017-09-15,-9.956512
"625",2017-09-16,30.201519
"626",2017-09-17,63.692849
"627",2017-09-18,51.715946
"628",2017-09-19,55.084954
"629",2017-09-20,59.523477
"630",2017-09-21,62.718482
"631",2017-09-22,80.84818
"632",2017-09-23,83.365058
"633",2017-09-24,66.216925
"634",2017-09-25,81.043543
"635",2017-09-26,100.652721
"636",2017-09-27,91.248456
"637",2017-09-28,87.143714
"638",2017-09-29,91.473966
"639",2017-09-30,76.359016
"640",2017-10-01,70.049024
"641",2017-10-02,75.179886
"642",2017-10-03,73.927221
"643",2017-10-04,85.757961
"644",2017-10-05,81.587988
"645",2017-10-06,73.849853
"646",2017-10-07,71.453124
"647",2017-10-08,48.164754
"648",2017-10-09,52.867831
"649",2017-10-10,26.011356
"650",2017-10-11,-0.396103
"651",2017-10-12,-1.632829
"652",2017-10-13,-16.435601
"653",2017-10-14,-0.905613
"654",2017-10-15,27.65438817
"655",2017-10-16,-7.852132
"656",2017-10-17,-32.026339
"657",2017-10-18,-40.108717
"658",2017-10-19,-63.899793
"659",2017-10-20,-77.596094
"660",2017-10-21,-19.977154
"661",2017-10-22,-37.880668
"662",2017-10-23,-53.107652
"663",2017-10-24,-72.339495
"664",2017-10-25,-78.747217
"665",2017-10-26,-68.586084
"666",2017-10-27,-68.610602
"667",2017-10-28,-70.620961
"668",2017-10-29,-30.241042
"669",2017-10-30,-57.247461
"670",2017-10-31,-51.663065
"671",2017-11-01,-44.805806
"672",2017-11-02,17.464338
"673",2017-11-03,-2.9034
"674",2017-11-04,3.456235
"675",2017-11-05,14.728243
"676",2017-11-06,11.22106
"677",2017-11-07,-15.344037
"678",2017-11-08,-15.498612
"679",2017-11-09,-5.064736
"680",2017-11-10,-22.601117
"681",2017-11-11,-33.949007
"682",2017-11-12,19.436266
"683",2017-11-13,-20.545021
"684",2017-11-14,-20.941524
"685",2017-11-15,21.602697
"686",2017-11-16,-22.83838
"687",2017-11-17,-47.938023
"688",2017-11-18,-33.5472
"689",2017-11-19,-0.398759
"690",2017-11-20,-36.199701
"691",2017-11-21,-35.75396
"692",2017-11-22,-55.645026
"693",2017-11-23,-65.528925
"694",2017-11-24,-33.925443
"695",2017-11-25,-11.153529
"696",2017-11-26,27.771703
"697",2017-11-27,-20.967285
"698",2017-11-28,-18.912416
"699",2017-11-29,-19.810272
"700",2017-11-30,-23.504685
"701",2017-12-01,-7.461303
"702",2017-12-02,-6.867448
"703",2017-12-03,25.572294
"704",2017-12-04,16.268
"705",2017-12-05,27.031332
"706",2017-12-06,54.620493
"707",2017-12-07,48.621987
"708",2017-12-08,48.07302
"709",2017-12-09,43.477984
"710",2017-12-10,57.288671
"711",2017-12-11,57.55117
"712",2017-12-12,75.489338
"713",2017-12-13,82.473499
"714",2017-12-14,86.161801
"715",2017-12-15,102.271231
"716",2017-12-16,82.623919
"717",2017-12-17,93.522748
"718",2017-12-18,85.967448
"719",2017-12-19,62.791101
"720",2017-12-20,80.919742
"721",2017-12-21,93.219412
"722",2017-12-22,77.387372
"723",2017-12-23,89.335063
"724",2017-12-24,65.124525
"725",2017-12-25,59.689703
"726",2017-12-26,53.704171
"727",2017-12-27,60.221357
"728",2017-12-28,62.548771
"729",2017-12-29,56.744482
"730",2017-12-30,63.746593
"731",2017-12-31,89.145758
"732",2018-01-01,84.080541
"733",2018-01-02,29.43598
"734",2018-01-03,14.199605
"735",2018-01-04,37.586524
"736",2018-01-05,57.374675
"737",2018-01-06,73.789154
"738",2018-01-07,109.44114
"739",2018-01-08,70.090694
"740",2018-01-09,69.82299
"741",2018-01-10,55.996022
"742",2018-01-11,59.480765
"743",2018-01-12,57.504913
"744",2018-01-13,46.891111
"745",2018-01-14,58.292271
"746",2018-01-15,50.569606
"747",2018-01-16,31.921417
"748",2018-01-17,39.290842
"749",2018-01-18,12.762041
"750",2018-01-19,29.494995
"751",2018-01-20,7.644006
"752",2018-01-21,33.962558
"753",2018-01-22,11.619961
"754",2018-01-23,-2.46979
"755",2018-01-24,3.34737
"756",2018-01-25,1.396141
"757",2018-01-26,7.917363
"758",2018-01-27,20.015207
"759",2018-01-28,40.086803
"760",2018-01-29,20.133942
"761",2018-01-30,8.198785
"762",2018-01-31,19.683229
"763",2018-02-01,18.878222
"764",2018-02-02,21.072154
"765",2018-02-03,34.510152
"766",2018-02-04,82.962862
"767",2018-02-05,39.943166
"768",2018-02-06,29.73253
"769",2018-02-07,37.649812
"770",2018-02-08,21.534314
"771",2018-02-09,31.842027
"772",2018-02-10,42.544662
"773",2018-02-11,93.734969
"774",2018-02-12,46.201312
"775",2018-02-13,68.632074
"776",2018-02-14,39.107706
"777",2018-02-15,20.041761
"778",2018-02-16,16.060186
"779",2018-02-17,22.724441
"780",2018-02-18,67.890637
"781",2018-02-19,27.61579
"782",2018-02-20,23.309838
"783",2018-02-21,23.348943
"784",2018-02-22,21.438683
