Date,Turbine flow (m^3/s)
3/2/2016,506
3/3/2016,536
3/4/2016,510
3/5/2016,499
3/6/2016,497
3/7/2016,488
3/8/2016,500
3/9/2016,495
3/10/2016,492
3/11/2016,504
3/12/2016,501
3/13/2016,525
3/14/2016,522
3/15/2016,524
3/16/2016,531
3/17/2016,521
3/18/2016,506
3/19/2016,498
3/20/2016,498
3/21/2016,490
3/22/2016,493
3/23/2016,474
3/24/2016,416
3/25/2016,507
3/26/2016,507
3/27/2016,507
3/28/2016,507
3/29/2016,507
3/30/2016,498
3/31/2016,490
4/1/2016,492
4/2/2016,405
4/3/2016,308
4/4/2016,426
4/5/2016,432
4/6/2016,414
4/7/2016,419
4/8/2016,384
4/9/2016,387
4/10/2016,235
4/11/2016,371
4/12/2016,398
4/13/2016,326
4/14/2016,321
4/15/2016,343
4/16/2016,259
4/17/2016,161
4/18/2016,313
4/19/2016,294
4/20/2016,237
4/21/2016,56
4/22/2016,276
4/23/2016,284
4/24/2016,56
4/25/2016,277
4/26/2016,281
4/27/2016,292
4/28/2016,243
4/29/2016,265
4/30/2016,292
5/1/2016,56
5/2/2016,278
5/3/2016,278
5/4/2016,247
5/5/2016,245
5/6/2016,241
5/7/2016,224
5/8/2016,39
5/9/2016,219
5/10/2016,303
5/11/2016,324
5/12/2016,345
5/13/2016,332
5/14/2016,98
5/15/2016,343
5/16/2016,320
5/17/2016,334
5/18/2016,210
5/19/2016,171
5/20/2016,177
5/21/2016,217
5/22/2016,56
5/23/2016,230
5/24/2016,312
5/25/2016,314
5/26/2016,87
5/27/2016,314
5/28/2016,315
5/29/2016,57
5/30/2016,359
5/31/2016,342
6/1/2016,421
6/2/2016,410
6/3/2016,657
6/4/2016,728
6/5/2016,670
6/6/2016,718
6/7/2016,751
6/8/2016,744
6/9/2016,728
6/10/2016,661
6/11/2016,564
6/12/2016,479
6/13/2016,489
6/14/2016,394
6/15/2016,166
6/16/2016,426
6/17/2016,505
6/18/2016,389
6/19/2016,274
6/20/2016,393
6/21/2016,363
6/22/2016,488
6/23/2016,382
6/24/2016,483
6/25/2016,483
6/26/2016,253
6/27/2016,360
6/28/2016,343
6/29/2016,350
6/30/2016,365
7/1/2016,363
7/2/2016,229
7/3/2016,166
7/4/2016,366
7/5/2016,498
7/6/2016,380
7/7/2016,396
7/8/2016,400
7/9/2016,361
7/10/2016,222
7/11/2016,389
7/12/2016,476
7/13/2016,491
7/14/2016,414
7/15/2016,390
7/16/2016,400
7/17/2016,149
7/18/2016,362
7/19/2016,362
7/20/2016,319
7/21/2016,331
7/22/2016,333
7/23/2016,332
7/24/2016,317
7/25/2016,344
7/26/2016,316
7/27/2016,348
7/28/2016,330
7/29/2016,331
7/30/2016,325
7/31/2016,328
8/1/2016,356
8/2/2016,361
8/3/2016,377
8/4/2016,375
8/5/2016,385
8/6/2016,388
8/7/2016,236
8/8/2016,358
8/9/2016,411
8/10/2016,339
8/11/2016,352
8/12/2016,338
8/13/2016,340
8/14/2016,233
8/15/2016,409
8/16/2016,411
8/17/2016,375
8/18/2016,339
8/19/2016,324
8/20/2016,251
8/21/2016,254
8/22/2016,339
8/23/2016,390
8/24/2016,346
8/25/2016,303
8/26/2016,369
8/27/2016,365
8/28/2016,270
8/29/2016,370
8/30/2016,398
8/31/2016,331
9/1/2016,390
9/2/2016,393
9/3/2016,381
9/4/2016,249
9/5/2016,383
9/6/2016,378
9/7/2016,384
9/8/2016,388
9/9/2016,387
9/10/2016,388
9/11/2016,230
9/12/2016,378
9/13/2016,355
9/14/2016,409
9/15/2016,456
9/16/2016,375
9/17/2016,344
9/18/2016,256
9/19/2016,348
9/20/2016,426
9/21/2016,277
9/22/2016,267
9/23/2016,283
9/24/2016,295
9/25/2016,175
9/26/2016,263
9/27/2016,402
9/28/2016,404
9/29/2016,420
9/30/2016,417
10/1/2016,283
10/2/2016,223
10/3/2016,341
10/4/2016,390
10/5/2016,415
10/6/2016,280
10/7/2016,231
10/8/2016,294
10/9/2016,198
10/10/2016,148
10/11/2016,295
10/12/2016,208
10/13/2016,197
10/14/2016,298
10/15/2016,272
10/16/2016,162
10/17/2016,311
10/18/2016,405
10/19/2016,409
10/20/2016,409
10/21/2016,396
10/22/2016,297
10/23/2016,229
10/24/2016,409
10/25/2016,380
10/26/2016,384
10/27/2016,322
10/28/2016,352
10/29/2016,314
10/30/2016,261
10/31/2016,386
11/1/2016,386
11/2/2016,290
11/3/2016,376
11/4/2016,377
11/5/2016,202
11/6/2016,196
11/7/2016,356
11/8/2016,334
11/9/2016,399
11/10/2016,541
11/11/2016,451
11/12/2016,491
11/13/2016,461
11/14/2016,480
11/15/2016,487
11/16/2016,484
11/17/2016,510
11/18/2016,537
11/19/2016,413
11/20/2016,318
11/21/2016,443
11/22/2016,458
11/23/2016,474
11/24/2016,475
11/25/2016,445
11/26/2016,404
11/27/2016,300
11/28/2016,449
11/29/2016,458
11/30/2016,441
12/1/2016,374
12/2/2016,387
12/3/2016,285
12/4/2016,254
12/5/2016,454
12/6/2016,443
12/7/2016,346
12/8/2016,376
12/9/2016,439
12/10/2016,384
12/11/2016,381
12/12/2016,369
12/13/2016,376
12/14/2016,389
12/15/2016,357
12/16/2016,367
12/17/2016,376
12/18/2016,332
12/19/2016,451
12/20/2016,382
12/21/2016,380
12/22/2016,487
12/23/2016,482
12/24/2016,475
12/25/2016,267
12/26/2016,384
12/27/2016,401
12/28/2016,355
12/29/2016,397
12/30/2016,382
12/31/2016,283
1/1/2017,203
1/2/2017,384
1/3/2017,393
1/4/2017,356
1/5/2017,360
1/6/2017,378
1/7/2017,373
1/8/2017,208
1/9/2017,377
1/10/2017,316
1/11/2017,294
1/12/2017,307
1/13/2017,381
1/14/2017,417
1/15/2017,275
1/16/2017,444
1/17/2017,437
1/18/2017,444
1/19/2017,371
1/20/2017,390
1/21/2017,500
1/22/2017,509
1/23/2017,512
1/24/2017,491
1/25/2017,479
1/26/2017,483
1/27/2017,478
1/28/2017,489
1/29/2017,518
1/30/2017,516
1/31/2017,507
2/1/2017,461
2/2/2017,464
2/3/2017,496
2/4/2017,505
2/5/2017,505
2/6/2017,512
2/7/2017,497
2/8/2017,507
2/9/2017,514
2/10/2017,515
2/11/2017,515
2/12/2017,515
2/13/2017,456
2/14/2017,414
2/15/2017,435
2/16/2017,316
2/17/2017,300
2/18/2017,251
2/19/2017,155
2/20/2017,300
2/21/2017,256
2/22/2017,286
2/23/2017,276
2/24/2017,352
2/25/2017,263
2/26/2017,263
2/27/2017,247
2/28/2017,198
3/1/2017,323
3/2/2017,365
3/3/2017,363
3/4/2017,351
3/5/2017,210
3/6/2017,399
3/7/2017,506
3/8/2017,504
3/9/2017,511
3/10/2017,390
3/11/2017,332
3/12/2017,370
3/13/2017,502
3/14/2017,507
3/15/2017,354
3/16/2017,472
3/17/2017,372
3/18/2017,194
3/19/2017,269
3/20/2017,424
3/21/2017,492
3/22/2017,485
3/23/2017,456
3/24/2017,452
3/25/2017,384
3/26/2017,191
3/27/2017,391
3/28/2017,397
3/29/2017,415
3/30/2017,338
3/31/2017,370
4/1/2017,348
4/2/2017,165
4/3/2017,326
4/4/2017,338
4/5/2017,344
4/6/2017,327
4/7/2017,320
4/8/2017,100
4/9/2017,179
4/10/2017,447
4/11/2017,432
4/12/2017,434
4/13/2017,429
4/14/2017,166
4/15/2017,354
4/16/2017,152
4/17/2017,341
4/18/2017,353
4/19/2017,377
4/20/2017,365
4/21/2017,172
4/22/2017,341
4/23/2017,196
4/24/2017,351
4/25/2017,360
4/26/2017,384
4/27/2017,395
4/28/2017,392
4/29/2017,422
4/30/2017,243
5/1/2017,277
5/2/2017,401
5/3/2017,337
5/4/2017,418
5/5/2017,448
5/6/2017,360
5/7/2017,415
5/8/2017,536
5/9/2017,525
5/10/2017,516
5/11/2017,433
5/12/2017,454
5/13/2017,386
5/14/2017,221
5/15/2017,352
5/16/2017,376
5/17/2017,387
5/18/2017,421
5/19/2017,440
5/20/2017,449
5/21/2017,547
5/22/2017,547
5/23/2017,494
5/24/2017,519
5/25/2017,489
5/26/2017,440
5/27/2017,515
5/28/2017,516
5/29/2017,513
5/30/2017,391
5/31/2017,342
6/1/2017,351
6/2/2017,333
6/3/2017,327
6/4/2017,232
6/5/2017,373
6/6/2017,429
6/7/2017,536
6/8/2017,535
6/9/2017,532
6/10/2017,482
6/11/2017,380
6/12/2017,332
6/13/2017,377
6/14/2017,443
6/15/2017,272
6/16/2017,443
6/17/2017,406
6/18/2017,311
6/19/2017,348
6/20/2017,373
6/21/2017,279
6/22/2017,283
6/23/2017,285
6/24/2017,204
6/25/2017,168
6/26/2017,241
6/27/2017,266
6/28/2017,302
6/29/2017,336
6/30/2017,338
7/1/2017,189
7/2/2017,224
7/3/2017,290
7/4/2017,345
7/5/2017,291
7/6/2017,359
7/7/2017,373
7/8/2017,260
7/9/2017,213
7/10/2017,370
7/11/2017,286
7/12/2017,349
7/13/2017,357
7/14/2017,368
7/15/2017,217
7/16/2017,221
7/17/2017,390
7/18/2017,372
7/19/2017,383
7/20/2017,405
7/21/2017,488
7/22/2017,499
7/23/2017,275
7/24/2017,430
7/25/2017,514
7/26/2017,514
7/27/2017,419
7/28/2017,482
7/29/2017,261
7/30/2017,190
7/31/2017,408
8/1/2017,425
8/2/2017,326
8/3/2017,332
8/4/2017,420
8/5/2017,379
8/6/2017,214
8/7/2017,322
8/8/2017,354
8/9/2017,408
8/10/2017,370
8/11/2017,370
8/12/2017,359
8/13/2017,180
8/14/2017,349
8/15/2017,356
8/16/2017,393
8/17/2017,356
8/18/2017,388
8/19/2017,338
8/20/2017,252
8/21/2017,311
8/22/2017,367
8/23/2017,368
8/24/2017,334
8/25/2017,370
8/26/2017,366
8/27/2017,355
8/28/2017,433
8/29/2017,534
8/30/2017,430
8/31/2017,213
9/1/2017,287
9/2/2017,318
9/3/2017,182
9/4/2017,393
9/5/2017,414
9/6/2017,448
9/7/2017,282
9/8/2017,411
9/9/2017,397
9/10/2017,276
9/11/2017,394
9/12/2017,407
9/13/2017,395
9/14/2017,398
9/15/2017,414
9/16/2017,391
9/17/2017,228
9/18/2017,410
9/19/2017,390
9/20/2017,507
9/21/2017,437
9/22/2017,420
9/23/2017,417
9/24/2017,244
9/25/2017,417
9/26/2017,410
9/27/2017,428
9/28/2017,406
9/29/2017,405
9/30/2017,424
10/1/2017,244
10/2/2017,415
10/3/2017,288
10/4/2017,329
10/5/2017,302
10/6/2017,289
10/7/2017,255
10/8/2017,143
10/9/2017,255
10/10/2017,258
10/11/2017,345
10/12/2017,85
10/13/2017,301
10/14/2017,272
10/15/2017,106
10/16/2017,317
10/17/2017,313
10/18/2017,307
10/19/2017,306
10/20/2017,300
10/21/2017,228
10/22/2017,93
10/23/2017,212
10/24/2017,90
10/25/2017,59
10/26/2017,89
10/27/2017,132
10/28/2017,131
10/29/2017,146
10/30/2017,226
10/31/2017,414
11/1/2017,421
11/2/2017,145
11/3/2017,276
11/4/2017,329
11/5/2017,129
11/6/2017,459
11/7/2017,346
11/8/2017,398
11/9/2017,437
11/10/2017,433
11/11/2017,414
11/12/2017,206
11/13/2017,411
11/14/2017,426
11/15/2017,235
11/16/2017,424
11/17/2017,445
11/18/2017,272
11/19/2017,250
11/20/2017,303
11/21/2017,416
11/22/2017,515
11/23/2017,448
11/24/2017,403
11/25/2017,406
11/26/2017,177
11/27/2017,260
11/28/2017,495
11/29/2017,476
11/30/2017,455
12/1/2017,509
12/2/2017,406
12/3/2017,234
12/4/2017,524
12/5/2017,493
12/6/2017,508
12/7/2017,355
12/8/2017,252
12/9/2017,233
12/10/2017,120
12/11/2017,264
12/12/2017,283
12/13/2017,279
12/14/2017,254
12/15/2017,305
12/16/2017,255
12/17/2017,128
12/18/2017,211
12/19/2017,194
12/20/2017,91
12/21/2017,133
12/22/2017,235
12/23/2017,135
12/24/2017,177
12/25/2017,163
12/26/2017,249
12/27/2017,281
12/28/2017,162
12/29/2017,291
12/30/2017,180
12/31/2017,119
1/1/2018,158
1/2/2018,317
1/3/2018,508
1/4/2018,508
1/5/2018,493
1/6/2018,340
1/7/2018,260
1/8/2018,505
1/9/2018,526
1/10/2018,514
1/11/2018,448
1/12/2018,450
1/13/2018,442
1/14/2018,320
1/15/2018,474
1/16/2018,486
1/17/2018,505
1/18/2018,469
1/19/2018,513
1/20/2018,469
1/21/2018,311
1/22/2018,476
1/23/2018,499
1/24/2018,524
1/25/2018,507
1/26/2018,506
1/27/2018,369
1/28/2018,247
1/29/2018,436
1/30/2018,489
1/31/2018,483
2/1/2018,450
2/2/2018,453
2/3/2018,592
2/4/2018,280
2/5/2018,453
2/6/2018,471
2/7/2018,380
2/8/2018,382
2/9/2018,389
2/10/2018,337
2/11/2018,214
2/12/2018,209
2/13/2018,209
2/14/2018,297
2/15/2018,281
2/16/2018,317
2/17/2018,302
2/18/2018,265
2/19/2018,312
2/20/2018,303
2/21/2018,370
2/22/2018,357
2/23/2018,307
2/24/2018,309
2/25/2018,106
2/26/2018,308
2/27/2018,220
2/28/2018,240
3/1/2018,343
3/2/2018,294
3/3/2018,138
3/4/2018,278
3/5/2018,371
3/6/2018,286
3/7/2018,309
3/8/2018,276
3/9/2018,262
3/10/2018,126
3/11/2018,103
3/12/2018,287
3/13/2018,297
3/14/2018,266
3/15/2018,326
3/16/2018,323
3/17/2018,182
3/18/2018,112
3/19/2018,295
3/20/2018,354
3/21/2018,371
3/22/2018,337
3/23/2018,315
3/24/2018,330
3/25/2018,142
3/26/2018,352
3/27/2018,261
3/28/2018,281
3/29/2018,357
3/30/2018,99
3/31/2018,203
4/1/2018,455
4/2/2018,580
4/3/2018,590
4/4/2018,529
4/5/2018,494
4/6/2018,457
4/7/2018,333
4/8/2018,108
4/9/2018,367
4/10/2018,372
4/11/2018,334
4/12/2018,313
4/13/2018,320
4/14/2018,82
4/15/2018,80
4/16/2018,305
4/17/2018,335
4/18/2018,339
4/19/2018,284
4/20/2018,385
4/21/2018,168
4/22/2018,115
4/23/2018,318
4/24/2018,330
4/25/2018,309
4/26/2018,326
4/27/2018,155
4/28/2018,165
4/29/2018,101
4/30/2018,320
5/1/2018,103
5/2/2018,277
5/3/2018,289
5/4/2018,216
5/5/2018,205
5/6/2018,104
5/7/2018,206
5/8/2018,241
5/9/2018,227
5/10/2018,204
5/11/2018,225
5/12/2018,222
5/13/2018,103
5/14/2018,228
5/15/2018,228
5/16/2018,225
5/17/2018,196
5/18/2018,225
5/19/2018,222
5/20/2018,103
5/21/2018,103
5/22/2018,146
5/23/2018,146
5/24/2018,163
5/25/2018,202
5/26/2018,197
5/27/2018,126
5/28/2018,200
5/29/2018,186
5/30/2018,206
5/31/2018,129
6/1/2018,200
6/2/2018,130
6/3/2018,128
6/4/2018,201
6/5/2018,211
6/6/2018,209
6/7/2018,204
6/8/2018,208
6/9/2018,203
6/10/2018,109
6/11/2018,212
6/12/2018,176
6/13/2018,183
6/14/2018,195
6/15/2018,190
6/16/2018,194
6/17/2018,142
6/18/2018,181
6/19/2018,188
6/20/2018,183
6/21/2018,183
6/22/2018,159
6/23/2018,177
6/24/2018,111
6/25/2018,193
6/26/2018,155
6/27/2018,160
6/28/2018,157
6/29/2018,153
6/30/2018,153
7/1/2018,103
7/2/2018,128
7/3/2018,150
7/4/2018,157
7/5/2018,157
7/6/2018,176
7/7/2018,151
7/8/2018,107
7/9/2018,165
7/10/2018,165
7/11/2018,159
7/12/2018,160
7/13/2018,162
7/14/2018,173
7/15/2018,127
7/16/2018,151
7/17/2018,231
7/18/2018,234
7/19/2018,207
7/20/2018,157
7/21/2018,171
7/22/2018,106
7/23/2018,163
7/24/2018,152
7/25/2018,149
7/26/2018,138
7/27/2018,154
7/28/2018,165
7/29/2018,107
7/30/2018,153
7/31/2018,156
8/1/2018,158
8/2/2018,164
8/3/2018,155
8/4/2018,152
8/5/2018,101
8/6/2018,136
8/7/2018,215
8/8/2018,222
8/9/2018,214
8/10/2018,225
8/11/2018,226
8/12/2018,191
8/13/2018,227
8/14/2018,228
8/15/2018,212
8/16/2018,213
8/17/2018,212
8/18/2018,211
8/19/2018,139
8/20/2018,216
8/21/2018,235
8/22/2018,353
8/23/2018,336
8/24/2018,336
8/25/2018,242
8/26/2018,153
8/27/2018,233
8/28/2018,233
8/29/2018,241
8/30/2018,268
8/31/2018,269
9/1/2018,233
9/2/2018,121
9/3/2018,261
9/4/2018,262
9/5/2018,225
9/6/2018,207
9/7/2018,168
9/8/2018,104
9/9/2018,104
9/10/2018,270
9/11/2018,268
9/12/2018,265
9/13/2018,152
9/14/2018,267
9/15/2018,152
9/16/2018,171
9/17/2018,181
9/18/2018,189
9/19/2018,152
9/20/2018,296
9/21/2018,295
9/22/2018,161
9/23/2018,153
9/24/2018,269
9/25/2018,304
9/26/2018,210
9/27/2018,356
9/28/2018,402
9/29/2018,393
9/30/2018,242
10/1/2018,347
10/2/2018,339
10/3/2018,348
10/4/2018,183
10/5/2018,330
10/6/2018,243
10/7/2018,221
10/8/2018,298
10/9/2018,344
10/10/2018,278
10/11/2018,469
10/12/2018,311
10/13/2018,395
10/14/2018,377
10/15/2018,449
10/16/2018,512
10/17/2018,517
10/18/2018,581
10/19/2018,581
10/20/2018,481
10/21/2018,285
10/22/2018,479
10/23/2018,457
10/24/2018,429
10/25/2018,461
10/26/2018,394
10/27/2018,460
10/28/2018,343
10/29/2018,444
10/30/2018,467
10/31/2018,420
11/1/2018,306
11/2/2018,118
11/3/2018,310
11/4/2018,270
11/5/2018,508
11/6/2018,353
11/7/2018,367
11/8/2018,360
11/9/2018,295
11/10/2018,257
11/11/2018,212
11/12/2018,356
11/13/2018,237
11/14/2018,180
11/15/2018,130
11/16/2018,196
11/17/2018,159
11/18/2018,64
11/19/2018,98
11/20/2018,155
11/21/2018,217
11/22/2018,220
11/23/2018,228
11/24/2018,328
11/25/2018,180
11/26/2018,309
11/27/2018,484
11/28/2018,433
11/29/2018,499
11/30/2018,524
12/1/2018,513
12/2/2018,379
12/3/2018,603
12/4/2018,518
12/5/2018,536
12/6/2018,587
12/7/2018,535
12/8/2018,487
12/9/2018,336
12/10/2018,608
12/11/2018,583
12/12/2018,558
12/13/2018,549
12/14/2018,621
12/15/2018,190
12/16/2018,205
12/17/2018,524
12/18/2018,503
12/19/2018,364
12/20/2018,382
12/21/2018,482
12/22/2018,431
12/23/2018,350
12/24/2018,379
12/25/2018,292
12/26/2018,537
12/27/2018,538
12/28/2018,500
12/29/2018,348
12/30/2018,144
12/31/2018,373
1/1/2019,257
1/2/2019,359
1/3/2019,107
1/4/2019,366
1/5/2019,182
1/6/2019,117
1/7/2019,200
1/8/2019,353
1/9/2019,360
1/10/2019,433
1/11/2019,440
1/12/2019,433
1/13/2019,430
1/14/2019,488
1/15/2019,453
1/16/2019,452
1/17/2019,457
1/18/2019,454
1/19/2019,424
1/20/2019,331
1/21/2019,655
1/22/2019,466
1/23/2019,466
1/24/2019,483
1/25/2019,392
1/26/2019,344
1/27/2019,176
1/28/2019,497
1/29/2019,348
1/30/2019,342
1/31/2019,363
2/1/2019,365
2/2/2019,368
2/3/2019,258
2/4/2019,361
2/5/2019,253
2/6/2019,255
2/7/2019,265
2/8/2019,254
2/9/2019,379
2/10/2019,126
2/11/2019,256
2/12/2019,541
2/13/2019,541
2/14/2019,422
2/15/2019,423
2/16/2019,321
2/17/2019,176
2/18/2019,607
2/19/2019,611
2/20/2019,593
2/21/2019,652
2/22/2019,554
2/23/2019,440
2/24/2019,369
2/25/2019,465
2/26/2019,521
2/27/2019,673
2/28/2019,644
3/1/2019,636
3/2/2019,553
3/3/2019,477
3/4/2019,570
3/5/2019,615
3/6/2019,615
3/7/2019,615
3/8/2019,611
3/9/2019,527
3/10/2019,271
3/11/2019,438
3/12/2019,523
3/13/2019,512
3/14/2019,510
3/15/2019,509
3/16/2019,377
3/17/2019,323
3/18/2019,534
3/19/2019,472
3/20/2019,452
3/21/2019,463
3/22/2019,461
3/23/2019,422
3/24/2019,449
3/25/2019,515
3/26/2019,517
3/27/2019,517
3/28/2019,516
3/29/2019,516
3/30/2019,378
3/31/2019,246
